x,y,y_err_top,y_err_bot
-1115,6.26133971362891e-12,1.9552363980914278e-12,1.9552363980914278e-12
-1070,8.836364743789018e-12,2.776970818619122e-12,2.776970818619122e-12
-1025,1.0786014098435643e-11,3.391739612120296e-12,3.391739612120296e-12
-990,1.4620599624780057e-11,3.009971643012036e-12,3.009971643012036e-12
-950,1.1848652882052208e-11,3.0321141667142292e-12,3.0321141667142292e-12
-910,8.122170606219065e-12,9.96340199115242e-13,9.96340199115242e-13
-865,5.494221881614611e-12,1.1744021364368366e-12,1.1744021364368366e-12
-775,6.068571873790043e-12,9.601133562793358e-13,9.601133562793358e-13
-730,7.136195706202739e-12,2.0157667224559326e-12,2.0157667224559326e-12
-690,9.742658524549276e-12,3.4999456787990626e-12,3.4999456787990626e-12
-660,1.3623019275186577e-11,2.8794398193944333e-12,2.8794398193944333e-12
-625,9.145444925804555e-12,3.07913757304619e-12,3.07913757304619e-12
-570,7.032554227711116e-12,1.1497773196712478e-12,1.1497773196712478e-12
-525,4.786929387158791e-12,9.868481490624848e-13,9.868481490624848e-13
-450,4.5801554848596605e-12,1.522307152910793e-12,1.522307152910793e-12
-375,5.602629812081954e-12,7.907565384424716e-13,7.907565384424716e-13
-315,6.443395080932761e-12,8.094988543067364e-13,8.094988543067364e-13
-250,8.543697486682285e-12,3.1752751397317674e-12,3.1752751397317674e-12
-210,1.14136260737921e-11,3.034324768144288e-12,3.034324768144288e-12
-170,1.2743005635624831e-11,3.0956340455745843e-12,3.0956340455745843e-12
-125,1.4237308667326359e-11,4.573965138527396e-12,4.573965138527396e-12
-100,1.832851564486354e-11,4.365705417192694e-12,4.365705417192694e-12
-80,2.24012610087744e-11,7.593364797261107e-12,7.593364797261107e-12
-60,1.5613781176235414e-11,4.148520076741385e-12,4.148520076741385e-12
-35,9.369529518120397e-12,2.1241388716291308e-12,2.1241388716291308e-12
35,1.1614208503235425e-11,4.036842766189154e-12,4.036842766189154e-12
60,1.953500369581808e-11,6.733635717068984e-12,6.733635717068984e-12
80,2.5534733905802246e-11,7.600358241812805e-12,7.600358241812805e-12
100,2.289075640017624e-11,3.2047485697111332e-12,3.2047485697111332e-12
120,2.0243454900460514e-11,5.094048107171872e-12,5.094048107171872e-12
145,1.6583723246247907e-11,5.3060804399190535e-12,5.3060804399190535e-12
185,1.3968157241094973e-11,3.0619391429825374e-12,3.0619391429825374e-12
250,1.0809699692201495e-11,2.7780305108391578e-12,2.7780305108391578e-12
315,7.19802175165026e-12,2.019979898259367e-12,2.019979898259367e-12
