x,y,y_err_top,y_err_bot
-550,2.2699946537090803e-11,9.448648061761807e-12,9.448648061761807e-12
-520,2.6716247375546988e-11,9.357373069412216e-12,9.357373069412216e-12
-488,3.61722466572106e-11,9.955174950097593e-12,9.955174950097593e-12
-462,4.589694758989841e-11,8.856840229822755e-12,8.856840229822755e-12
-440,3.42223996938518e-11,9.955174950097593e-12,9.955174950097593e-12
-405,2.5090546946689547e-11,8.618137846520862e-12,8.618137846520862e-12
-375,3.213779102864275e-11,1.0610179350153322e-11,1.0610179350153322e-11
-350,3.9306186481088903e-11,1.3473764774075702e-11,1.3473764774075702e-11
-320,3.059109929133362e-11,4.54239954259055e-12,4.54239954259055e-12
-295,2.035796491776182e-11,5.787754962126287e-12,5.787754962126287e-12
-240,5.6606357325207346e-11,1.6114571604239687e-11,1.6114571604239687e-11
-220,8.608917848034887e-11,3.594741318989422e-11,3.594741318989422e-11
-200,1.579572787501089e-10,2.593803077761668e-11,2.593803077761668e-11
-180,1.0713687028074627e-10,3.5055607223844376e-11,3.5055607223844376e-11
-155,8.771276143902634e-11,2.0469555989184523e-11,2.0469555989184523e-11
-140,1.782686513475186e-10,8.280388806951146e-11,8.280388806951146e-11
-120,2.8306638109127523e-10,1.018719488607997e-10,1.018719488607997e-10
-103,5.211583378129365e-10,1.2839137145451797e-10,1.2839137145451797e-10
-78,3.4991950727594546e-10,1.1044092143952551e-10,1.1044092143952551e-10
-54,2.6007233379575916e-10,5.971382149100987e-11,5.971382149100987e-11
-30,1.5515457638498067e-10,6.183467916374597e-11,6.183467916374597e-11
50,5.100650504384747e-11,2.2656953788066513e-11,2.2656953788066513e-11
80,7.585298324045062e-11,2.4815940898079914e-11,2.4815940898079914e-11
105,1.0743256877586983e-10,2.064142815048722e-11,2.064142815048722e-11
130,1.5e-10,5e-11,5e-11
148,2.1946933903522236e-10,2.645881949676023e-11,2.645881949676023e-11
170,1.857003885275636e-10,3.846077685368175e-11,3.846077685368175e-11
190,1.5e-10,5.446365987356682e-11,5.446365987356682e-11
215,1.0824284276020136e-10,3.781369974613689e-11,3.781369974613689e-11
240,9.969515207466055e-11,1.4328654661990128e-11,1.4328654661990128e-11
265,1.060695193535183e-10,3.47508100116568e-11,3.47508100116568e-11
285,1.1865144019729196e-10,3.389856555666853e-11,3.389856555666853e-11
305,1.0768570234148626e-10,3.240005320443697e-11,3.240005320443697e-11
325,7.993796231971474e-11,1.5825524363135678e-11,1.5825524363135678e-11
350,5.935296675689424e-11,2.373978370746589e-11,2.373978370746589e-11
