Rvals*1e9, Energy (GHz)
1.058354421340000018e+00,-7.568280017344372027e+03
1.375119158057377167e+00,-3.450401066328292018e+03
1.691883894774754538e+00,-1.852588263270698008e+03
2.008648631492131909e+00,-1.107079114600732964e+03
2.325413368209509279e+00,-7.134936018785581382e+02
2.642178104926886650e+00,-4.864120321276673167e+02
2.958942841644264021e+00,-3.463226130639616258e+02
3.275707578361641392e+00,-2.552555543014036914e+02
3.592472315079018763e+00,-1.935130631080729131e+02
3.909237051796395690e+00,-1.501808500805374820e+02
4.226001788513773505e+00,-1.188780158481181957e+02
4.542766525231150432e+00,-9.570383185300588025e+01
4.859531261948528247e+00,-7.818211886418299628e+01
5.176295998665905174e+00,-6.468942171678216368e+01
5.493060735383282989e+00,-5.413116507259731236e+01
5.809825472100659915e+00,-4.575107662007680176e+01
6.126590208818037731e+00,-3.901522176685111276e+01
6.443354945535414657e+00,-3.353933205968214537e+01
6.760119682252791584e+00,-2.904206030452528253e+01
7.076884418970169399e+00,-2.531420363190551015e+01
7.393649155687546326e+00,-2.219801097445626681e+01
7.710413892404924141e+00,-1.957300481757817323e+01
8.027178629122301956e+00,-1.734609797246483254e+01
8.343943365839677995e+00,-1.544459535437773035e+01
8.660708102557057586e+00,-1.381116687626051132e+01
8.977472839274433625e+00,-1.240018823342921372e+01
9.294237575991811440e+00,-1.117504469210779838e+01
9.611002312709187478e+00,-1.010612189322566756e+01
9.927767049426565293e+00,-9.169292841734801414e+00
1.024453178614394311e+01,-8.344767375641865215e+00
1.056129652286131915e+01,-7.616209272378682726e+00
1.087806125957869696e+01,-6.970052940313575363e+00
1.119482599629607478e+01,-6.394970338886391659e+00
1.151159073301345259e+01,-5.881451968442966027e+00
1.182835546973083041e+01,-5.421475188115847388e+00
1.214512020644820645e+01,-5.008239908220808445e+00
1.246188494316558426e+01,-4.635956643458040816e+00
1.277864967988296208e+01,-4.299675540426371789e+00
1.309541441660033989e+01,-3.995147679058588697e+00
1.341217915331771771e+01,-3.718711952786859953e+00
1.372894389003509197e+01,-3.467202340584095488e+00
1.404570862675246978e+01,-3.237871526839892322e+00
1.436247336346984760e+01,-3.028327696860505291e+00
1.467923810018722541e+01,-2.836482005242903615e+00
1.499600283690460145e+01,-2.660504731645842114e+00
1.531276757362198282e+01,-2.498788540540922032e+00
1.562953231033935708e+01,-2.349917575810921644e+00
1.594629704705673490e+01,-2.212641368067896686e+00
1.626306178377411271e+01,-2.085852727700764131e+00
1.657982652049148697e+01,-1.968568951589583893e+00
1.689659125720886834e+01,-1.859915795013886708e+00
1.721335599392624260e+01,-1.759113759324670845e+00
1.753012073064362397e+01,-1.665466325668487402e+00
1.784688546736099823e+01,-1.578349829488502776e+00
1.816365020407837960e+01,-1.497204722822312206e+00
1.848041494079575386e+01,-1.421528014023644815e+00
1.879717967751313523e+01,-1.350866709379738406e+00
1.911394441423050949e+01,-1.284812109696169546e+00
1.943070915094788731e+01,-1.222994838477129198e+00
1.974747388766526157e+01,-1.165080497796969095e+00
2.006423862438263939e+01,-1.110765864099918732e+00
2.038100336110001720e+01,-1.059775549590237453e+00
2.069776809781739146e+01,-1.011859066075327718e+00
2.101453283453477283e+01,-9.667882374960219405e-01
2.133129757125214709e+01,-9.243549152422063653e-01
2.164806230796952846e+01,-8.843689569688906182e-01
2.196482704468690272e+01,-8.466564352105643287e-01
2.228159178140428409e+01,-8.110580468138830490e-01
2.259835651812165835e+01,-7.774276982132788394e-01
2.291512125483903972e+01,-7.456312449781772322e-01
2.323188599155641398e+01,-7.155453669611722134e-01
2.354865072827378825e+01,-6.870565628537659286e-01
2.386541546499116961e+01,-6.600602500767891456e-01
2.418218020170854388e+01,-6.344599577515737110e-01
2.449894493842592524e+01,-6.101666020616542951e-01
2.481570967514329951e+01,-5.870978346617086174e-01
2.513247441186068087e+01,-5.651774559530573505e-01
2.544923914857805514e+01,-5.443348860504748643e-01
2.576600388529543650e+01,-5.245046871362029073e-01
2.608276862201281077e+01,-5.056261316532864036e-01
2.639953335873018503e+01,-4.876428114479423037e-01
2.671629809544756640e+01,-4.705022835435634931e-01
2.703306283216494066e+01,-4.541557487288621076e-01
2.734982756888232203e+01,-4.385577595796150696e-01
2.766659230559969629e+01,-4.236659549160726179e-01
2.798335704231707410e+01,-4.094408180335329384e-01
2.830012177903444837e+01,-3.958454563382742819e-01
2.861688651575182973e+01,-3.828454002801624512e-01
2.893365125246920400e+01,-3.704084197015888869e-01
2.925041598918658536e+01,-3.585043559237748312e-01
2.956718072590395963e+01,-3.471049680694311412e-01
2.988394546262133389e+01,-3.361837922781294452e-01
3.020071019933871526e+01,-3.257160126102229825e-01
3.051747493605608952e+01,-3.156783425587956771e-01
3.083423967277347089e+01,-3.060489161989905504e-01
3.115100440949084515e+01,-2.968071881017677605e-01
3.146776914620822652e+01,-2.879338412260921132e-01
3.178453388292560078e+01,-2.794107020811278375e-01
3.210129861964297504e+01,-2.712206625192137288e-01
3.241806335636035641e+01,-2.633476075822271945e-01
3.273482809307773067e+01,-2.557763488792952344e-01
3.305159282979511204e+01,-2.484925630233356664e-01
3.336835756651248630e+01,-2.414827346983559053e-01
3.368512230322986767e+01,-2.347341039692998343e-01
3.400188703994724193e+01,-2.282346174820646389e-01
3.431865177666462330e+01,-2.219728832335232660e-01
3.463541651338199756e+01,-2.159381286204204997e-01
3.495218125009937182e+01,-2.101201615021168756e-01
3.526894598681675319e+01,-2.045093340357890810e-01
3.558571072353412745e+01,-1.990965090639504886e-01
3.590247546025150882e+01,-1.938730288534236124e-01
3.621924019696888308e+01,-1.888306860023103440e-01
3.653600493368626445e+01,-1.839616963472634481e-01
3.685276967040363871e+01,-1.792586737176615763e-01
3.716953440712102008e+01,-1.747146063962321527e-01
3.748629914383839434e+01,-1.703228351574770372e-01
3.780306388055577571e+01,-1.660770327658767087e-01
3.811982861727314997e+01,-1.619711848256404352e-01
3.843659335399052424e+01,-1.579995718825837336e-01
3.875335809070790560e+01,-1.541567526867648752e-01
3.907012282742527987e+01,-1.504375485318831807e-01
3.938688756414266123e+01,-1.468370285941342779e-01
3.970365230086003550e+01,-1.433504961993223858e-01
4.002041703757740976e+01,-1.399734759526372052e-01
4.033718177429479113e+01,-1.367017016706113530e-01
4.065394651101216539e+01,-1.335311050594323312e-01
4.097071124772953965e+01,-1.304578050880942364e-01
4.128747598444692102e+01,-1.274780980087717452e-01
4.160424072116429528e+01,-1.245884479804031386e-01
4.192100545788166954e+01,-1.217854782547824755e-01
4.223777019459905091e+01,-1.190659628874710663e-01
4.255453493131642517e+01,-1.164268189386366004e-01
4.287129966803380654e+01,-1.138650991314751337e-01
4.318806440475118080e+01,-1.113779849382474652e-01
4.350482914146856217e+01,-1.089627800660952772e-01
4.382159387818593643e+01,-1.066169043168341268e-01
4.413835861490331780e+01,-1.043378877967300333e-01
4.445512335162069206e+01,-1.021233654539810409e-01
4.477188808833807343e+01,-9.997107192319099056e-02
4.508865282505544769e+01,-9.787883665755137130e-02
4.540541756177282195e+01,-9.584457933079715275e-02
4.572218229849020332e+01,-9.386630549223973219e-02
4.603894703520757758e+01,-9.194210245930101166e-02
4.635571177192495895e+01,-9.007013543305664172e-02
4.667247650864233321e+01,-8.824864382324904000e-02
4.698924124535971458e+01,-8.647593777014650485e-02
4.730600598207708885e+01,-8.475039485147872753e-02
4.762277071879447021e+01,-8.307045696342818530e-02
4.793953545551184448e+01,-8.143462736540252322e-02
4.825630019222922584e+01,-7.984146787897472564e-02
4.857306492894660011e+01,-7.828959623200182349e-02
4.888982966566397437e+01,-7.677768353951419655e-02
4.920659440238135574e+01,-7.530445191349466327e-02
4.952335913909873000e+01,-7.386867219418657982e-02
4.984012387581611137e+01,-7.246916179601337049e-02
5.015688861253348563e+01,-7.110478266164399486e-02
5.047365334925086700e+01,-6.977443931812787881e-02
5.079041808596824126e+01,-6.847707702941585595e-02
5.110718282268562263e+01,-6.721168003990607431e-02
5.142394755940299689e+01,-6.597726990402730252e-02
5.174071229612037115e+01,-6.477290389711676255e-02
5.205747703283775252e+01,-6.359767350319245338e-02
5.237424176955512678e+01,-6.245070297544774718e-02
5.269100650627250815e+01,-6.133114796555938497e-02
5.300777124298988241e+01,-6.023819421813181307e-02
5.332453597970726378e+01,-5.917105632681352034e-02
5.364130071642463804e+01,-5.812897654882931420e-02
5.395806545314201941e+01,-5.711122367486387574e-02
5.427483018985939367e+01,-5.611709195139358286e-02
5.459159492657677504e+01,-5.514590005276165385e-02
5.490835966329414930e+01,-5.419699010041023612e-02
5.522512440001152356e+01,-5.326972672686691723e-02
5.554188913672890493e+01,-5.236349618218438806e-02
5.585865387344627919e+01,-5.147770548069585672e-02
5.617541861016366056e+01,-5.061178158603496513e-02
5.649218334688103482e+01,-4.976517063251595374e-02
5.680894808359840908e+01,-4.893733718104487096e-02
5.712571282031578335e+01,-4.812776350786229784e-02
5.744247755703316471e+01,-4.733594892448600433e-02
5.775924229375053898e+01,-4.656140912732498194e-02
5.807600703046792034e+01,-4.580367557552333935e-02
5.839277176718529461e+01,-4.506229489565072299e-02
5.870953650390266887e+01,-4.433682831195184804e-02
5.902630124062005024e+01,-4.362685110093078578e-02
5.934306597733742450e+01,-4.293195206908961836e-02
5.965983071405480587e+01,-4.225173305274498858e-02
5.997659545077218723e+01,-4.158580843885539835e-02
6.029336018748956860e+01,-4.093380470589202957e-02
6.061012492420693576e+01,-4.029535998379607520e-02
6.092688966092431713e+01,-3.967012363215127735e-02
