Parameter 1, Parameter 2, Parameter 3
1.000000000000000000e+00,1.000000000000000000e+00,-1.100000000000000089e+00
1.000000000000000000e+00,1.000000000000000000e+00,-1.100000000000000089e+00
1.000000000000000000e+00,1.000000000000000000e+00,-1.100000000000000089e+00
1.000000000000000000e+00,1.000000000000000000e+00,-8.084945979448481257e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.681370314401187116e-03
1.000000000000000000e+00,1.000000000000000000e+00,4.605586133890238187e-02
1.000000000000000000e+00,1.000000000000000000e+00,5.338983283526310686e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.983999999880561749e-01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000000e+00,1.000000000000000000e+00,-1.100000000000000089e+00
1.000000000000000000e+00,1.000000000000000000e+00,-1.100000000000000089e+00
1.000000000000000000e+00,1.000000000000000000e+00,-1.100000000000000089e+00
1.000000000000000000e+00,1.000000000000000000e+00,-8.504005060780870373e-01
1.000000000000000000e+00,1.000000000000000000e+00,-8.883500474072203446e-02
1.000000000000000000e+00,1.000000000000000000e+00,8.155204837558049924e-03
1.000000000000000000e+00,1.000000000000000000e+00,3.696967148038843992e-02
1.000000000000000000e+00,1.000000000000000000e+00,4.983999999880561749e-01
