Rvals*1e9,0a1,0a1
1.058354421339999932e-09,1.789047524352294886e+03,1.378695599182264232e+04
1.100180333939229541e-09,8.823312829193158677e+02,1.220133993335024934e+04
1.142006246538459150e-09,9.509535422759353196e+01,1.084807543050095592e+04
1.183832159137688759e-09,-5.921858171910346300e+02,9.686732670375287853e+03
1.225658071736918368e-09,-1.195200127538447759e+03,8.684898295634986425e+03
1.267483984336147977e-09,-1.726673218000182715e+03,7.816404116757775228e+03
1.309309896935377586e-09,-2.197021331048753837e+03,7.059987648900630120e+03
1.351135809534607195e-09,-2.614842440405581328e+03,6.398268765974501548e+03
1.392961722133836804e-09,-2.987289020662663006e+03,5.816960675136059763e+03
1.434787634733066413e-09,-3.320353593790574905e+03,5.304256578185693797e+03
1.476613547332296022e-09,-3.619089534686045226e+03,4.850349418883430189e+03
1.518439459931525631e-09,-3.887783450511480623e+03,4.447053367939722193e+03
1.560265372530755240e-09,-4.130091034293845041e+03,4.087503708620537054e+03
1.602091285129984849e-09,-4.349145123432347646e+03,3.765917569283351440e+03
1.643917197729214459e-09,-4.547642410592438864e+03,3.477402179112580143e+03
1.685743110328444068e-09,-4.727913604055878750e+03,3.217800453823221233e+03
1.727569022927673677e-09,-4.891980636224844602e+03,2.983566059090154795e+03
1.769394935526903286e-09,-5.041603643960160298e+03,2.771661865839360871e+03
1.811220848126132895e-09,-5.178319801236693820e+03,2.579477054681560276e+03
1.853046760725362504e-09,-5.303475608175151137e+03,2.404759154928658518e+03
1.894872673324592113e-09,-5.418253884635540089e+03,2.245558095291460631e+03
1.936698585923821722e-09,-5.523696448347152000e+03,2.100179956102912001e+03
1.978524498523051331e-09,-5.620723253542271777e+03,1.967148589438195586e+03
2.020350411122280940e-09,-5.710148609450610820e+03,1.845173645736733988e+03
2.062176323721510549e-09,-5.792694976694175239e+03,1.733123837517642642e+03
2.104002236320740158e-09,-5.869004744821906570e+03,1.630004500743108792e+03
2.145828148919969767e-09,-5.939650319528482214e+03,1.534938696207565727e+03
2.187654061519199376e-09,-6.005142788789720726e+03,1.447151237642287469e+03
2.229479974118428985e-09,-6.065939389708804811e+03,1.365955148194946332e+03
2.271305886717658594e-09,-6.122449959672535442e+03,1.290740138876998344e+03
2.313131799316888203e-09,-6.175042524474691163e+03,1.220962776352886522e+03
2.354957711916117812e-09,-6.224048150855836866e+03,1.156138066871374122e+03
2.396783624515347421e-09,-6.269765170266270616e+03,1.095832231173701075e+03
2.438609537114577030e-09,-6.312462863674502842e+03,1.039656484175098967e+03
2.480435449713806639e-09,-6.352384683207848866e+03,9.872616649278855903e+02
2.522261362313036248e-09,-6.389751074766042620e+03,9.383335882720696191e+02
2.564087274912265857e-09,-6.424761956049776018e+03,8.925890107992822777e+02
2.605913187511495466e-09,-6.457598896340397914e+03,8.497721211992726467e+02
2.647739100110725075e-09,-6.488427037570829270e+03,8.096514794429031099e+02
2.689565012709954684e-09,-6.517396790511944346e+03,7.720173411548610147e+02
2.731390925309184293e-09,-6.544645335077968411e+03,7.366793134025372183e+02
2.773216837908413902e-09,-6.570297949677265933e+03,7.034642963440147696e+02
2.815042750507643511e-09,-6.594469191077779215e+03,6.722146720357812910e+02
2.856868663106873120e-09,-6.617263943317874691e+03,6.427867074404775849e+02
2.898694575706102729e-09,-6.638778351689518786e+03,6.150491434923002316e+02
2.940520488305332338e-09,-6.659100655682653269e+03,5.888819461317023070e+02
2.982346400904561947e-09,-6.678311932949788570e+03,5.641751986416712725e+02
3.024172313503791556e-09,-6.696486764780514932e+03,5.408281175114427697e+02
