Rvals*1e9,0a1,0a1,0a1,0a1,0a1,0a1,0a1
1.058354421339999932e-09,-1.276153935414892840e+04,-1.062604338873186680e+04,1.789064212473923135e+03,5.071192861902086406e+03,1.320114729032235300e+04,1.355881884945991806e+04,1.378711755630877087e+04
1.100180333939229541e-09,-1.197758118785008446e+04,-9.883621870335360654e+03,8.823459780466624807e+02,4.257087594573215029e+03,1.158641200517446669e+04,1.196894756374646749e+04,1.220150334442011808e+04
1.142006246538459150e-09,-1.131278783926880897e+04,-9.265335117988079219e+03,9.510825492794202773e+01,3.567144592119302160e+03,1.020811876168855997e+04,1.061360334673203761e+04,1.084824056648252008e+04
1.183832159137688759e-09,-1.074694190174820324e+04,-8.750984500614637000e+03,-5.921745147061453736e+02,2.981773636439785605e+03,9.026065040059920648e+03,9.452207539082133735e+03,9.686899403092033026e+03
1.225658071736918368e-09,-1.026375517270976889e+04,-8.324145692440506537e+03,-1.195190234888755640e+03,2.485102315538439143e+03,8.007928894197133559e+03,8.452140723963226264e+03,8.685066497769677881e+03
1.267483984336147977e-09,-9.849991581511801996e+03,-7.971277965486411631e+03,-1.726664558478424624e+03,2.064070524295415908e+03,7.127509649359064497e+03,7.586993057410459187e+03,7.816573667163261234e+03
1.309309896935377586e-09,-9.494808927999021762e+03,-7.681065948716497587e+03,-2.197013741977839345e+03,1.707763450345158617e+03,6.363405534557632564e+03,6.835244828621221131e+03,7.060158436109472859e+03
1.351135809534607195e-09,-9.189260304938068657e+03,-7.443936781123379660e+03,-2.614835774261931419e+03,1.406925746343292531e+03,5.698010279950200129e+03,6.179259790170350243e+03,6.398440690233752321e+03
1.392961722133836804e-09,-8.925913162234033734e+03,-7.251710008195847877e+03,-2.987283145251536098e+03,1.153613399557078310e+03,5.116744916206306698e+03,5.604508654792713060e+03,5.817133649308478198e+03
1.434787634733066413e-09,-8.698555762631869584e+03,-7.097346501249023277e+03,-3.320348391747783808e+03,9.409483940262513215e+02,4.607464601988440336e+03,5.098964095806921250e+03,5.304430527833682390e+03
1.476613547332296022e-09,-8.501969034666188236e+03,-6.974768747350492959e+03,-3.619084902542661439e+03,7.629472377569341006e+02,4.159996790940950632e+03,4.652625137689058647e+03,4.850524281803544909e+03
1.518439459931525631e-09,-8.331747690024285475e+03,-6.878729885314714011e+03,-3.887779297509766820e+03,6.143995563301853053e+02,3.765778717694803163e+03,4.257140335556641730e+03,4.447229093359997933e+03
1.560265372530755240e-09,-8.184158688199348944e+03,-6.804713775697916390e+03,-4.130087281094474747e+03,4.907780807200167601e+02,3.417570539928332892e+03,3.905507212014173092e+03,4.087680256218975046e+03
1.602091285129984849e-09,-8.056028198077568959e+03,-6.748853313040589455e+03,-4.349141700810602742e+03,3.881665327145116748e+02,3.109226524687891470e+03,3.591831133325333667e+03,3.766094908139403742e+03
1.643917197729214459e-09,-7.944650457348401687e+03,-6.707858754583328846e+03,-4.547639258186840379e+03,3.031967228406609252e+02,2.835511089457881098e+03,3.311130903430570470e+03,3.477580286666101983e+03
1.685743110328444068e-09,-7.847713593586636307e+03,-6.678951594916060458e+03,-4.727910669206819875e+03,2.329901378321042387e+02,2.591949765064427993e+03,3.059181334696922477e+03,3.217979314887118107e+03
1.727569022927673677e-09,-7.763238703417728175e+03,-6.659802189876453667e+03,-4.891977872922177994e+03,1.751021259824796346e+02,2.374707559845766355e+03,2.832385256412711442e+03,2.983745664942390249e+03
1.769394935526903286e-09,-7.689529400542646727e+03,-6.648470926723325647e+03,-5.041601011906026542e+03,1.274684914843429766e+02,2.180488999352557130e+03,2.627669073923751512e+03,2.771842213406119299e+03
1.811220848126132895e-09,-7.625129721134050669e+03,-6.643353458018000310e+03,-5.178317265021752064e+03,8.835509722198789007e+01,2.006455455690175086e+03,2.442397247573828736e+03,2.579658145813917599e+03
1.853046760725362504e-09,-7.568788776679242801e+03,-6.643130653673772031e+03,-5.303473136561533465e+03,5.631124888347429902e+01,1.850156383706356564e+03,2.274302027298518169e+03,2.404940995769583878e+03
1.894872673324592113e-09,-7.519430915128207744e+03,-6.646723750206223485e+03,-5.418251449937195503e+03,3.012747182760535836e+01,1.709471834520930770e+03,2.121425529744689811e+03,2.245740695726610284e+03
1.936698585923821722e-09,-7.476130425459007711e+03,-6.653254888140464573e+03,-5.523694025897305437e+03,8.798003455177482834e+00,1.582564184800293333e+03,1.982071832702048141e+03,2.100363329287148645e+03
