R_values,HFavg
1.024982885531981855e-08,1.074725691869445576e+01
1.045641455317897760e-08,9.762578742902933371e+00
1.066300025103813665e-08,8.890822285283093152e+00
1.086958594889729571e-08,8.116275091216406778e+00
1.107617164675645641e-08,7.425829252275861769e+00
1.128275734461561546e-08,6.809039175100152441e+00
1.148934304247477452e-08,6.256048630358280072e+00
1.169592874033393357e-08,5.758975428714520284e+00
1.190251443819309262e-08,5.311095410634111502e+00
1.210910013605225167e-08,4.907127080848191270e+00
1.231568583391141072e-08,4.541608599262930035e+00
1.252227153177056977e-08,4.210247992710677956e+00
1.272885722962972882e-08,3.909318220888841289e+00
1.293544292748888788e-08,3.635570230498238242e+00
1.314202862534804693e-08,3.386161195236008226e+00
1.334861432320720598e-08,3.158594999808738812e+00
1.355520002106636503e-08,2.950672650484694515e+00
1.376178571892552574e-08,2.761195137178273917e+00
1.396837141678468479e-08,2.587679289506806590e+00
1.417495711464384384e-08,2.428594274717221779e+00
1.438154281250300289e-08,2.282575676274814835e+00
1.458812851036216194e-08,2.148404362530442757e+00
1.479471420822132099e-08,2.025664030923676862e+00
1.500129990608048005e-08,1.912681503207871003e+00
1.520788560393963910e-08,1.808576281830579058e+00
1.541447130179879815e-08,1.712555389745667567e+00
1.562105699965795720e-08,1.623903683947348853e+00
1.582764269751711625e-08,1.541975488652150839e+00
1.603422839537627530e-08,1.466187328114760602e+00
1.624081409323543435e-08,1.396011570342874153e+00
1.644739979109459341e-08,1.330970823056630836e+00
1.665398548895375246e-08,1.267538157114459718e+00
1.686057118681291151e-08,1.208534431948570687e+00
1.706715688467207387e-08,1.153601708165881146e+00
1.727374258253122961e-08,1.102415075797455346e+00
1.748032828039039197e-08,1.052129901451140714e+00
1.768691397824954772e-08,1.005126334748354999e+00
1.789349967610871008e-08,9.599502024098195418e-01
1.810008537396786582e-08,9.176290984721932054e-01
1.830667107182702818e-08,8.779552455093205809e-01
1.851325676968618392e-08,8.407385072641311297e-01
1.871984246754534628e-08,8.037440412204394091e-01
1.892642816540450202e-08,7.689442008645511750e-01
1.913301386326366439e-08,7.361892514453372005e-01
1.933959956112282013e-08,7.053414828671882297e-01
1.954618525898198249e-08,6.762741104851270890e-01
1.975277095684113823e-08,6.480395433290350171e-01
1.995935665470030059e-08,6.213871919132266664e-01
2.016594235255945633e-08,5.962162474514632882e-01
2.037252805041861869e-08,5.724334726348154767e-01
2.057911374827777444e-08,5.499525434900985887e-01
2.078569944613693680e-08,5.286934541091200535e-01
2.099228514399609254e-08,5.085819778218898524e-01
2.119887084185525490e-08,4.895491790836865587e-01
2.140545653971441064e-08,4.715309709630806645e-01
2.161204223757357300e-08,4.539113001808252057e-01
2.181862793543272875e-08,4.372032507122053380e-01
2.202521363329189111e-08,4.213543763997857905e-01
2.223179933115105347e-08,4.063157266194237227e-01
2.243838502901020921e-08,3.915590976899370190e-01
2.264497072686937157e-08,3.775401108049515342e-01
2.285155642472852731e-08,3.642181097480708951e-01
2.305814212258768967e-08,3.515549957950855897e-01
2.326472782044684542e-08,3.395150355625912164e-01
2.347131351830600778e-08,3.280646855716052857e-01
2.367789921616516352e-08,3.171724319817191273e-01
2.388448491402432588e-08,3.068086441030509759e-01
2.409107061188348162e-08,2.962010795240769823e-01
2.429765630974264398e-08,2.860840352699081657e-01
2.450424200760179972e-08,2.764323261587703917e-01
2.471082770546096208e-08,2.672222101385263726e-01
2.491741340332011783e-08,2.584312906834014822e-01
2.512399910117928019e-08,2.493628930498449914e-01
2.533058479903843593e-08,2.406903334842526165e-01
2.553717049689759829e-08,2.323941536103923400e-01
2.574375619475675403e-08,2.244559481437569670e-01
2.595034189261591639e-08,2.168582987853503452e-01
2.615692759047507214e-08,2.095847131751971404e-01
2.636351328833423450e-08,2.026195684683320675e-01
2.657009898619339024e-08,1.959480591342750710e-01
2.677668468405255260e-08,1.895561486152751440e-01
2.698327038191170834e-08,1.834305245100890103e-01
2.718985607977087070e-08,1.775585569785668727e-01
2.739644177763002645e-08,1.719282600886959944e-01
2.760302747548918881e-08,1.665282558510026434e-01
2.780961317334834455e-08,1.613477407080186332e-01
2.801619887120750691e-08,1.563764542665841695e-01
2.822278456906666265e-08,1.516046500797373908e-01
2.842937026692582501e-08,1.470230683024141838e-01
2.863595596478498737e-08,1.426229100612438350e-01
2.884254166264414312e-08,1.383958133945993041e-01
2.904912736050330548e-08,1.343338306320177589e-01
2.925571305836246122e-08,1.304294070957391638e-01
2.946229875622162358e-08,1.266753610187430212e-01
2.966888445408077932e-08,1.230648645846871281e-01
2.987547015193994168e-08,1.195914260046886252e-01
3.008205584979909742e-08,1.162488725554457619e-01
3.028864154765825978e-08,1.130313345108189815e-01
3.049522724551741553e-08,1.099332299063189577e-01
3.070181294337657789e-08,1.069492500825318104e-01
3.090839864123573363e-08,1.040743459588584774e-01
3.111498433909489599e-08,1.013037149944583937e-01
3.132157003695405173e-08,9.863278879656504905e-02
3.152815573481321409e-08,9.605722134131716716e-02
3.173474143267236984e-08,9.357287777449579957e-02
3.194132713053153220e-08,9.117582376267761857e-02
3.214791282839068794e-08,8.880652333088312478e-02
3.235449852624985030e-08,8.651819860235879234e-02
3.256108422410900604e-08,8.430743394889547715e-02
3.276766992196816840e-08,8.217097739811325685e-02
3.297425561982732415e-08,8.010573233759704648e-02
3.318084131768648651e-08,7.801116409608542523e-02
3.338742701554564225e-08,7.598372388738307281e-02
3.359401271340480461e-08,7.402069636156494159e-02
3.380059841126396035e-08,7.211949345446413973e-02
3.400718410912312271e-08,7.027764793753260575e-02
3.421376980698227846e-08,6.849280729672706236e-02
3.442035550484144082e-08,6.664016331458380571e-02
3.462694120270059656e-08,6.484200122533416433e-02
3.483352690055975892e-08,6.309624187132552298e-02
3.504011259841891466e-08,6.140090022649889734e-02
3.524669829627807702e-08,5.975408067424226727e-02
3.545328399413723276e-08,5.815397253110421438e-02
3.565986969199639512e-08,5.652922864686875382e-02
3.586645538985555087e-08,5.494891844249735757e-02
3.607304108771471323e-08,5.341143765164092089e-02
3.627962678557386897e-08,5.191525190846615900e-02
3.648621248343303133e-08,5.045889330600800832e-02
3.669279818129218707e-08,4.904095713498039799e-02
3.689938387915134943e-08,4.766009879383016623e-02
3.710596957701050518e-08,4.631503086121867285e-02
3.731255527486966754e-08,4.500452032196374658e-02
3.751914097272882328e-08,4.372738593863423340e-02
3.772572667058798564e-08,4.248249576067181926e-02
3.793231236844714138e-08,4.126876476401349081e-02
3.813889806630630374e-08,4.008515261397103957e-02
3.834548376416545949e-08,3.893066154472457630e-02
3.855206946202462185e-08,3.774489021220964885e-02
3.875865515988378421e-08,3.658719028277088864e-02
3.896524085774293995e-08,3.545666494583046141e-02
3.917182655560210231e-08,3.435245286135523574e-02
3.937841225346125805e-08,3.327372652539897085e-02
3.958499795132042041e-08,3.216673340168793582e-02
3.979158364917957616e-08,3.108441943535300220e-02
3.999816934703873852e-08,3.002603520828084002e-02
4.020475504489789426e-08,2.899085974266749424e-02
4.041134074275705662e-08,2.797819923161901090e-02
4.061792644061621236e-08,2.698738583333908092e-02
4.082451213847537472e-08,2.601777652548265332e-02
4.103109783633453046e-08,2.506875201661669036e-02
4.123768353419369282e-08,2.413971571147142600e-02
4.144426923205284857e-08,2.323009272699922551e-02
4.165085492991201093e-08,2.233932895698309551e-02
4.185744062777116667e-08,2.146689018217093348e-02
4.206402632563032903e-08,2.061226122353533238e-02
4.227061202348948477e-08,1.977494513670095821e-02
4.247719772134864713e-08,1.901025448195062251e-02
4.268378341920780288e-08,1.826094122679190399e-02
4.289036911706696524e-08,1.752658274746369399e-02
4.309695481492612098e-08,1.680677105919969189e-02
4.330354051278528334e-08,1.610111221266959450e-02
4.351012621064443908e-08,1.550681125514677752e-02
4.371671190850360144e-08,1.492424025055918806e-02
4.392329760636275719e-08,1.435308309452626267e-02
4.412988330422191955e-08,1.374639041744896324e-02
