R_values,HFavg
1.157911374827777491e-08,3.811813577819111121e+00
1.178569944613693727e-08,3.475690826270122269e+00
1.199228514399609301e-08,3.177622647789327459e+00
1.219887084185525537e-08,2.912347165508695657e+00
1.240545653971441112e-08,2.675472370402427469e+00
1.261204223757357348e-08,2.463309769062322463e+00
1.281862793543272922e-08,2.272743764531724775e+00
1.302521363329189158e-08,2.101128322641849788e+00
1.323179933115105394e-08,1.946204640803814945e+00
1.343838502901020968e-08,1.806035107085439240e+00
1.364497072686937204e-08,1.678949987086851614e+00
1.385155642472852779e-08,1.563504124494958791e+00
1.405814212258769015e-08,1.458441572226746308e+00
1.426472782044684589e-08,1.362666544079380149e+00
1.447131351830600825e-08,1.275219434022505594e+00
1.467789921616516399e-08,1.195256922001079136e+00
1.488448491402432635e-08,1.122035393285507610e+00
1.509107061188348044e-08,1.054897058974357815e+00
1.529765630974264280e-08,9.932582899298015855e-01
1.550424200760179854e-08,9.365997738294143948e-01
1.571082770546096090e-08,8.844581815211591813e-01
1.591741340332011665e-08,8.364190891761515978e-01
1.612399910117927901e-08,7.921109503204240010e-01
1.633058479903843475e-08,7.511999492678903545e-01
1.653717049689759711e-08,7.133855967377905616e-01
1.674375619475675285e-08,6.783969511274208219e-01
1.695034189261591521e-08,6.459893664841552807e-01
1.715692759047507096e-08,6.159416821089016558e-01
1.736351328833423332e-08,5.880537803038710098e-01
1.757009898619338906e-08,5.621444492169378471e-01
1.777668468405255142e-08,5.369776790850621095e-01
1.798327038191170716e-08,5.135166623000934072e-01
1.818985607977086952e-08,4.916253083819072667e-01
1.839644177763002527e-08,4.711799759158562528e-01
1.860302747548918763e-08,4.511843920441138134e-01
1.880961317334834337e-08,4.324541569317928436e-01
1.901619887120750573e-08,4.144767895752453635e-01
1.922278456906666147e-08,3.976006265539556717e-01
1.942937026692582383e-08,3.817465515155092914e-01
1.963595596478498619e-08,3.668421169330396969e-01
1.984254166264414193e-08,3.521091340358445954e-01
2.004912736050330429e-08,3.382233279939748649e-01
2.025571305836246004e-08,3.251276291711508448e-01
2.046229875622162240e-08,3.127695169375170892e-01
2.066888445408077814e-08,3.011006057768063071e-01
2.087547015193994050e-08,2.897900994900386440e-01
2.108205584979909624e-08,2.790922332288564567e-01
2.128864154765825860e-08,2.689684990195422842e-01
2.149522724551741435e-08,2.593832587417286284e-01
2.170181294337657671e-08,2.503034962279371278e-01
2.190839864123573245e-08,2.416985929862290605e-01
2.211498433909489481e-08,2.335401251250406596e-01
2.232157003695405055e-08,2.258016793239678577e-01
2.252815573481321291e-08,2.182643578608483848e-01
2.273474143267236866e-08,2.111041629167051681e-01
2.294132713053153102e-08,2.041151750087639993e-01
2.314791282839068676e-08,1.974678714682801539e-01
2.335449852624984912e-08,1.911432075658853202e-01
2.356108422410900486e-08,1.851233772729105331e-01
2.376766992196816722e-08,1.793917174300660444e-01
2.397425561982732297e-08,1.739326203425035910e-01
2.418084131768648533e-08,1.687314540062679058e-01
2.438742701554564107e-08,1.637744892526749874e-01
2.459401271340480343e-08,1.590488331690728951e-01
2.480059841126395917e-08,1.542770449490227791e-01
2.500718410912312153e-08,1.497189664344605320e-01
