# Radius (nm), Energy
1.000000000000000062e-09,8.972027113834366901e+03
1.198396793587174490e-09,5.213011251335782617e+03
1.396793587174348710e-09,3.292258138677198531e+03
1.595190380761523138e-09,2.210309096512213728e+03
1.793587174348697565e-09,1.554973915874982822e+03
1.991983967935871785e-09,1.135097222651239690e+03
2.190380761523046006e-09,8.537519888348575705e+02
2.388777555110220227e-09,6.582084418345425547e+02
2.587174348697394861e-09,5.180998749201138480e+02
2.785571142284569495e-09,4.150952975692246127e+02
2.983967935871743716e-09,3.376821629871320170e+02
3.182364729458917936e-09,2.783817239346724932e+02
3.380761523046092157e-09,2.321918471456926909e+02
3.579158316633266377e-09,1.956806357051008831e+02
3.777555110220440598e-09,1.664401699651548086e+02
3.975951903807615646e-09,1.427470726371673209e+02
4.174348697394789866e-09,1.233458108808856082e+02
4.372745490981964087e-09,1.073069807492356773e+02
4.571142284569138307e-09,9.393260321967267146e+01
4.769539078156312528e-09,8.269159007863382271e+01
4.967935871743486748e-09,7.317498362759059205e+01
5.166332665330660969e-09,6.506440688409814754e+01
5.364729458917835189e-09,5.810949492705554320e+01
5.563126252505010237e-09,5.211153055253422650e+01
5.761523046092184458e-09,4.691142950578061033e+01
5.959919839679358678e-09,4.238081671453749522e+01
6.158316633266532899e-09,3.841532692184709674e+01
6.356713426853707119e-09,3.492952488038784509e+01
6.555110220440881340e-09,3.185301762171967965e+01
6.753507014028056388e-09,2.912745309861989185e+01
6.951903807615230608e-09,2.670418418110218184e+01
7.150300601202404829e-09,2.454243656400349849e+01
7.348697394789579049e-09,2.260786152154385320e+01
7.547094188376754097e-09,2.087138489983939138e+01
7.745490981963927491e-09,1.930828583924362363e+01
7.943887775551102538e-09,1.789745490376985515e+01
8.142284569138277586e-09,1.662079325080753378e+01
8.340681362725450980e-09,1.546272337846953526e+01
8.539078156312626027e-09,1.440978867067323321e+01
8.737474949899801075e-09,1.345032401256269239e+01
8.935871743486974468e-09,1.257418359553384768e+01
9.134268537074149516e-09,1.177251497919518641e+01
9.332665330661322910e-09,1.103757075129795595e+01
9.531062124248497957e-09,1.036255089084799508e+01
9.729458917835671351e-09,9.741470316332911494e+00
9.927855711422846398e-09,9.169047181270313374e+00
1.012625250501002145e-08,8.640608331402777509e+00
1.032464929859719484e-08,8.152009013404756033e+00
1.052304609218436989e-08,7.699564463104585421e+00
1.072144288577154328e-08,7.279991431893011899e+00
1.091983967935871833e-08,6.890358056183088387e+00
1.111823647294589172e-08,6.528040754263529699e+00
1.131663326653306677e-08,6.190687061431927596e+00
1.151503006012024182e-08,5.876183498657475468e+00
1.171342685370741521e-08,5.582627720629232293e+00
