R_values,energy
2.000000000000000042e-08,2.243006778458592088e+00
2.080808080808080952e-08,1.991702624838219693e+00
2.161616161616161531e-08,1.776580278513973932e+00
2.242424242424242441e-08,1.591355587970434637e+00
2.323232323232323351e-08,1.431009934499280600e+00
2.404040404040403930e-08,1.291502602503142860e+00
2.484848484848484840e-08,1.169555499738344384e+00
2.565656565656565750e-08,1.062490381013508456e+00
2.646464646464646660e-08,9.681045981375278053e-01
2.727272727272727240e-08,8.845754139639663283e-01
2.808080808080808150e-08,8.103857003288976735e-01
2.888888888888888729e-08,7.442657903943168396e-01
2.969696969696969639e-08,6.851476391424188295e-01
3.050505050505050549e-08,6.321284369517874424e-01
3.131313131313131459e-08,5.844415384865477847e-01
3.212121212121212369e-08,5.414330930732512703e-01
3.292929292929292617e-08,5.025431488220379883e-01
3.373737373737373527e-08,4.672902896129489392e-01
3.454545454545454437e-08,4.352590788931894883e-01
3.535353535353535347e-08,4.060897463102682292e-01
3.616161616161616257e-08,3.794696763576823062e-01
3.696969696969696506e-08,3.551263524148120521e-01
3.777777777777778077e-08,3.328214820875867175e-01
3.858585858585858326e-08,3.123460859323593519e-01
3.939393939393939236e-08,2.935163754118031432e-01
4.020202020202020146e-08,2.761702802200180495e-01
4.101010101010101056e-08,2.601645121201336952e-01
4.181818181818181966e-08,2.453720738167491089e-01
4.262626262626262214e-08,2.316801383927127311e-01
4.343434343434343786e-08,2.189882384324995657e-01
4.424242424242424034e-08,2.072067148671303538e-01
4.505050505050504944e-08,1.962553843744840321e-01
4.585858585858585854e-08,1.860623912929055546e-01
4.666666666666666764e-08,1.765632157970320193e-01
4.747474747474747674e-08,1.676998148103286401e-01
4.828282828282827923e-08,1.594198759992345449e-01
4.909090909090909494e-08,1.516761683751656486e-01
4.989898989898989743e-08,1.444259756545904216e-01
5.070707070707070653e-08,1.376306006988438912e-01
5.151515151515151563e-08,1.312549311580971934e-01
5.232323232323232473e-08,1.252670579451945487e-01
5.313131313131313383e-08,1.196379394190903861e-01
5.393939393939393631e-08,1.143411052081246826e-01
5.474747474747474541e-08,1.093523944858814101e-01
5.555555555555555451e-08,1.046497242557640900e-01
5.636363636363636361e-08,1.002128838282832640e-01
5.717171717171717271e-08,9.602335220669450111e-02
5.797979797979798181e-08,9.206413554791631482e-02
5.878787878787878430e-08,8.831962224966273534e-02
5.959595959595959340e-08,8.477545354224506891e-02
6.040404040404040911e-08,8.141840774347293419e-02
6.121212121212121160e-08,7.823629657494890477e-02
6.202020202020201408e-08,7.521787214399096311e-02
6.282828282828282980e-08,7.235274337260221011e-02
6.363636363636364552e-08,6.963130080765912722e-02
6.444444444444444800e-08,6.704464887844165111e-02
6.525252525252525048e-08,6.458454478183088543e-02
6.606060606060605296e-08,6.224334327452625548e-02
6.686868686868686868e-08,6.001394673765712146e-02
6.767676767676768440e-08,5.788975995402607932e-02
6.848484848484848688e-08,5.586464910348169777e-02
6.929292929292928937e-08,5.393290453890761671e-02
7.010101010101009185e-08,5.208920695516083832e-02
7.090909090909090757e-08,5.032859660696212961e-02
7.171717171717172328e-08,4.864644527006083824e-02
7.252525252525252577e-08,4.703843067367156211e-02
7.333333333333332825e-08,4.550051316181968897e-02
7.414141414141414397e-08,4.402891436735776459e-02
7.494949494949494645e-08,4.262009770547459803e-02
7.575757575757576217e-08,4.127075051390279720e-02
7.656565656565656465e-08,3.997776768507388390e-02
7.737373737373736713e-08,3.873823665146017975e-02
7.818181818181818285e-08,3.754942359953697406e-02
7.898989898989899857e-08,3.640876080040912621e-02
7.979797979797980105e-08,3.531383495636804953e-02
8.060606060606060354e-08,3.426237647264173541e-02
8.141414141414140602e-08,3.325224957251639302e-02
8.222222222222220850e-08,3.228144318196976559e-02
8.303030303030303745e-08,3.134806251707424746e-02
8.383838383838383994e-08,3.045032131379822940e-02
8.464646464646464242e-08,2.958653464554172885e-02
8.545454545454544490e-08,2.875511227886293902e-02
8.626262626262627386e-08,2.795455252244874109e-02
8.707070707070707634e-08,2.718343652851532011e-02
8.787878787878787882e-08,2.644042300954247554e-02
8.868686868686868130e-08,2.572424333659522472e-02
8.949494949494948379e-08,2.503369698850467159e-02
9.030303030303031274e-08,2.436764732390566193e-02
9.111111111111111522e-08,2.372501765059000303e-02
9.191919191919191771e-08,2.310478756885913851e-02
9.272727272727272019e-08,2.250598956757496674e-02
9.353535353535352267e-08,2.192770585343102943e-02
9.434343434343435162e-08,2.136906539562064347e-02
9.515151515151515411e-08,2.082924116957921706e-02
9.595959595959595659e-08,2.030744758484064744e-02
9.676767676767675907e-08,1.980293808328685914e-02
9.757575757575756156e-08,1.931500289519600191e-02
9.838383838383839051e-08,1.884296694152093679e-02
9.919191919191919299e-08,1.838618787176433608e-02
9.999999999999999547e-08,1.794405422766874245e-02
