x,y,y_err_top,y_err_bot
-1115,1.3311120998673653e-11,4.0400383393132765e-12,4.0400383393132765e-12
-1070,1.768643656635748e-11,5.802050343491709e-12,5.802050343491709e-12
-1025,2.562348408406615e-11,1.0486793087972136e-11,1.0486793087972136e-11
-990,3.8833434109056973e-11,1.1666239298128847e-11,1.1666239298128847e-11
-950,2.2887671964985385e-11,7.000036006540861e-12,7.000036006540861e-12
-910,1.66310537912988e-11,4.3139768827551615e-12,4.3139768827551615e-12
-865,9.949565883162425e-12,2.2576495005554052e-12,2.2576495005554052e-12
-765,1.202825705017272e-11,3.0010657560344876e-12,3.0010657560344876e-12
-730,1.4527140830497158e-11,4.168104609803311e-12,4.168104609803311e-12
-690,1.9833112526125283e-11,7.194400205623147e-12,7.194400205623147e-12
-660,2.3197302935821013e-11,5.984639365002559e-12,5.984639365002559e-12
-625,1.861736587174028e-11,6.3378254365731325e-12,6.3378254365731325e-12
-570,1.4316158058174914e-11,2.4489669575599793e-12,2.4489669575599793e-12
-525,1.0661372650065038e-11,2.101682330085516e-12,2.101682330085516e-12
-450,1.0012174054859185e-11,3.1416138443076e-12,3.1416138443076e-12
-375,1.0202306849837149e-11,1.7039470579792382e-12,1.7039470579792382e-12
-315,1.2407990307947912e-11,3.518542929931151e-12,3.518542929931151e-12
-250,1.8446189841749983e-11,2.4174553310306582e-12,2.4174553310306582e-12
-210,2.2360350392397984e-11,4.191466954080407e-12,4.191466954080407e-12
-170,2.7158196375424392e-11,4.892278522430769e-12,4.892278522430769e-12
-135,3.684084607007903e-11,8.916988500273346e-12,8.916988500273346e-12
-100,4.406580683845964e-11,9.644233824988441e-12,9.644233824988441e-12
-80,5.2273172645757105e-11,1.059926809399093e-11,1.059926809399093e-11
-60,3.3599252366329975e-11,9.844291043605631e-12,9.844291043605631e-12
-35,1.9045600609303205e-11,7.312844158383476e-12,7.312844158383476e-12
35,2.7798188847536928e-11,6.017105707158619e-12,6.017105707158619e-12
60,4.68039827187682e-11,1.2103899733549038e-11,1.2103899733549038e-11
80,6.012210901888907e-11,1.3077145237783975e-11,1.3077145237783975e-11
100,5.108673169324399e-11,6.3935293337208175e-12,6.3935293337208175e-12
120,4.3260229649998665e-11,4.383238152474915e-12,4.383238152474915e-12
145,3.527648330285128e-11,6.715883782609598e-12,6.715883782609598e-12
185,2.9975683293287225e-11,4.475647130899318e-12,4.475647130899318e-12
250,1.9735951735236382e-11,8.259863162616833e-12,8.259863162616833e-12
