x,y,y_err_top,y_err_bot
-550,2.8036999820882062e-11,1.0448942656001907e-11,1.0448942656001907e-11
-520,4.0431598641157413e-11,1.0061233210702001e-11,1.0061233210702001e-11
-488,4.695110100957918e-11,9.14817441665814e-12,9.14817441665814e-12
-462,4.268901212397498e-11,1.2011477686490128e-11,1.2011477686490128e-11
-440,3.5026172571558876e-11,1.1382229438890064e-11,1.1382229438890064e-11
-405,2.913662640225947e-11,9.566930219066663e-12,9.566930219066663e-12
-375,3.2945283402460867e-11,1.1958655203244437e-11,1.1958655203244437e-11
-345,4.4248453109313153e-11,1.493275254977454e-11,1.493275254977454e-11
-320,3.3437107491065154e-11,5.268741294287306e-12,5.268741294287306e-12
-295,3.019600934754888e-11,6.529621919063813e-12,6.529621919063813e-12
-240,6.802092455314795e-11,1.8309257568598683e-11,1.8309257568598683e-11
-220,9.960788411465527e-11,3.9847251924141024e-11,3.9847251924141024e-11
-200,1.6114005111972293e-10,2.955578774129906e-11,2.955578774129906e-11
-180,1.1109506445471416e-10,3.881189523102378e-11,3.881189523102378e-11
-155,8.974827659627936e-11,2.7822397178866736e-11,2.7822397178866736e-11
-140,1.6218392699645605e-10,8.247345572699386e-11,8.247345572699386e-11
-120,3.1130497277243485e-10,1.1264762537861653e-10,1.1264762537861653e-10
-103,5.318319422630605e-10,1.0058226894442957e-10,1.0058226894442957e-10
-78,3.605306437750442e-10,1.2236126305429594e-10,1.2236126305429594e-10
-54,2.1979232410469208e-10,6.631738652258412e-11,6.631738652258412e-11
-30,1.6243162009420973e-10,6.902378704799521e-11,6.902378704799521e-11
50,5.2896674346020377e-11,2.6291796201324588e-11,2.6291796201324588e-11
80,9.342455033612782e-11,2.7941091877761378e-11,2.7941091877761378e-11
105,1.4491968285644483e-10,2.623553696405553e-11,2.623553696405553e-11
130,1.883775535405963e-10,6.297291102204181e-11,6.297291102204181e-11
148,2.7155643463902575e-10,3.0405982972458475e-11,3.0405982972458475e-11
170,1.9851862155323135e-10,4.194402648313136e-11,4.194402648313136e-11
190,1.5e-10,6.094897465271343e-11,6.094897465271343e-11
215,1.0511998742593925e-10,4.4136067925366764e-11,4.4136067925366764e-11
240,1.091693107066906e-10,1.6624316777099163e-11,1.6624316777099163e-11
265,1.2232296497153247e-10,3.854998118705753e-11,3.854998118705753e-11
285,1.3506712234712928e-10,3.773716344645336e-11,3.773716344645336e-11
305,1.0002258700410819e-10,3.583631433608089e-11,3.583631433608089e-11
325,8.106863271382233e-11,1.807455747817071e-11,1.807455747817071e-11
350,6.499335558859296e-11,2.6200750526944818e-11,2.6200750526944818e-11
-2115,1.3311120998673653e-11,4.0400383393132765e-12,4.0400383393132765e-12
-2070,1.768643656635748e-11,5.802050343491709e-12,5.802050343491709e-12
-2025,2.562348408406615e-11,1.0486793087972136e-11,1.0486793087972136e-11
-1990,3.8833434109056973e-11,1.1666239298128847e-11,1.1666239298128847e-11
-1950,2.2887671964985385e-11,7.000036006540861e-12,7.000036006540861e-12
-1910,1.66310537912988e-11,4.3139768827551615e-12,4.3139768827551615e-12
-1865,9.949565883162425e-12,2.2576495005554052e-12,2.2576495005554052e-12
-1765,1.202825705017272e-11,3.0010657560344876e-12,3.0010657560344876e-12
-1730,1.4527140830497158e-11,4.168104609803311e-12,4.168104609803311e-12
-1690,1.9833112526125283e-11,7.194400205623147e-12,7.194400205623147e-12
-1660,2.3197302935821013e-11,5.984639365002559e-12,5.984639365002559e-12
-1625,1.861736587174028e-11,6.3378254365731325e-12,6.3378254365731325e-12
-1570,1.4316158058174914e-11,2.4489669575599793e-12,2.4489669575599793e-12
-1525,1.0661372650065038e-11,2.101682330085516e-12,2.101682330085516e-12
-1450,1.0012174054859185e-11,3.1416138443076e-12,3.1416138443076e-12
-1375,1.0202306849837149e-11,1.7039470579792382e-12,1.7039470579792382e-12
-1315,1.2407990307947912e-11,3.518542929931151e-12,3.518542929931151e-12
-1250,1.8446189841749983e-11,2.4174553310306582e-12,2.4174553310306582e-12
-1210,2.2360350392397984e-11,4.191466954080407e-12,4.191466954080407e-12
-1170,2.7158196375424392e-11,4.892278522430769e-12,4.892278522430769e-12
-1135,3.684084607007903e-11,8.916988500273346e-12,8.916988500273346e-12
-1100,4.406580683845964e-11,9.644233824988441e-12,9.644233824988441e-12
-1080,5.2273172645757105e-11,1.059926809399093e-11,1.059926809399093e-11
-1060,3.3599252366329975e-11,9.844291043605631e-12,9.844291043605631e-12
-1035,1.9045600609303205e-11,7.312844158383476e-12,7.312844158383476e-12
-965,2.7798188847536928e-11,6.017105707158619e-12,6.017105707158619e-12
-940,4.68039827187682e-11,1.2103899733549038e-11,1.2103899733549038e-11
-920,6.012210901888907e-11,1.3077145237783975e-11,1.3077145237783975e-11
-900,5.108673169324399e-11,6.3935293337208175e-12,6.3935293337208175e-12
-880,4.3260229649998665e-11,4.383238152474915e-12,4.383238152474915e-12
-855,3.527648330285128e-11,6.715883782609598e-12,6.715883782609598e-12
-815,2.9975683293287225e-11,4.475647130899318e-12,4.475647130899318e-12
-750,1.9735951735236382e-11,8.259863162616833e-12,8.259863162616833e-12
