Rvals*1e9,0+g,0+u,0-g,0-u,1g,1u,2g,2u,0+g,0+u,0-g,0-u,1g,1u,2g,2u,0+g,0+u,0-g,0-u,1g,1u,2g,2u
1.058354421340000018e+00,-1.915883761464693089e+04,1.791833884259523302e+03,-1.275875353001527947e+04,-1.805112987252087260e+04,-1.062286181103836316e+04,-1.856194193469687889e+04,-7.568280017344371117e+03,7.568280017344371117e+03,-1.066902340588618608e+04,1.378998519927358939e+04,1.320401257885965424e+04,3.359828886676501497e+03,5.073851214066624379e+03,-9.428639327437449538e+03,nan,nan,nan,nan,nan,nan,1.356254966316048740e+04,5.731000258945598034e+03,nan,nan
1.084297075990154902e+00,-1.820648991466784719e+04,1.214162026260056791e+03,-1.225722269489680184e+04,-1.703372647241456434e+04,-1.014649358974362804e+04,-1.757661582938702486e+04,-7.037942551618751168e+03,7.037942551618753896e+03,-1.003035870868841084e+04,1.277664466009619900e+04,1.217214427801555576e+04,2.872762952295811829e+03,4.553054833448296449e+03,-8.856611951826173026e+03,nan,nan,nan,nan,nan,nan,1.254630289103283030e+04,5.234321709475701027e+03,nan,nan
1.110239730640310007e+00,-1.735111856598395752e+04,6.856764580874851163e+02,-1.180486504083533328e+04,-1.611546658435075187e+04,-9.721195765179085356e+03,-1.669017077754970160e+04,-6.556020200093680614e+03,6.556020200093683343e+03,-9.439963002797090667e+03,1.185936317369355856e+04,1.123786427242901300e+04,2.436425415757069004e+03,4.083247145190222000e+03,-8.331629701428144472e+03,nan,nan,nan,nan,nan,nan,1.162696805167622733e+04,4.786739110290488497e+03,nan,nan
1.136182385290465113e+00,-1.658127355087366959e+04,2.011014125770435044e+02,-1.139622743888539298e+04,-1.528557724553854496e+04,-9.341538943995350564e+03,-1.589153277861608876e+04,-6.117111849826635989e+03,6.117111849826637808e+03,-8.893082967106241995e+03,1.102721316840286818e+04,1.039031832021202536e+04,2.045444427211908305e+03,3.659149936532672200e+03,-7.848483460006000314e+03,nan,nan,nan,nan,nan,nan,1.079359173861595264e+04,4.382771570468824393e+03,nan,nan
1.162125039940620219e+00,-1.588696664943889846e+04,-2.441487597284181561e+02,-1.102656018305280850e+04,-1.453468712177215639e+04,-9.002776686394323406e+03,-1.517102322242395530e+04,-5.716523598996753208e+03,5.716523598996753208e+03,-8.385625116051363875e+03,1.027069858821868183e+04,9.620062813549562634e+03,1.695142554275401380e+03,3.276161724494138980e+03,-7.402687082757674943e+03,nan,nan,nan,nan,nan,nan,1.003664119139369541e+04,4.017642138688124305e+03,nan,nan
1.188067694590775325e+00,-1.525947394472682936e+04,-6.540752223851495728e+02,-1.069171166792933218e+04,-1.385461309627646187e+04,-8.700738010564336946e+03,-1.452015360401924772e+04,-5.350163037893327783e+03,5.350163037893330511e+03,-7.914036137453159427e+03,9.581543367565136577e+03,8.918853737322660891e+03,1.381429089883131610e+03,2.930248410108572443e+03,-6.990366340192017560e+03,nan,nan,nan,nan,nan,nan,9.347794707742419632e+03,3.687172899924607918e+03,nan,nan
1.214010349240930431e+00,-1.469116877635171113e+04,-1.032182213816672629e+03,-1.038804080246893136e+04,-1.323818227018184189e+04,-8.431738160897459238e+03,-1.393145589648172790e+04,-5.014451212281823246e+03,5.014451212281824155e+03,-7.475205828993758587e+03,8.952514882162142385e+03,8.279471046250753716e+03,1.100710089400020252e+03,2.617852504974908697e+03,-6.608165294277638168e+03,nan,nan,nan,nan,nan,nan,8.719767111986189775e+03,3.387697797695723693e+03,nan,nan
1.239953003891085537e+00,-1.417537882582077145e+04,-1.381549870307709625e+03,-1.011234389407876006e+04,-1.267908294679845676e+04,-8.192504529078556516e+03,-1.339834170436665408e+04,-4.706249010298656685e+03,4.706249010298657595e+03,-7.066389173575198583e+03,8.377275932703681974e+03,7.695571935877418582e+03,8.498129679998016854e+02,2.335817850081697088e+03,-6.253167187560918137e+03,nan,nan,nan,nan,nan,nan,8.146163731094164177e+03,3.115989902830263418e+03,nan,nan
1.265895658541240643e+00,-1.370626274447465948e+04,-1.704894991845534832e+03,-9.861793389439013481e+03,-1.217173949171590721e+04,-7.980115243349147931e+03,-1.291498465995516381e+04,-4.422795367928101768e+03,4.422795367928102678e+03,-6.685144327809647621e+03,7.850260127129840839e+03,7.161567788867114359e+03,6.259231552878053435e+02,2.081327353352332011e+03,-5.922827547082100864e+03,nan,nan,nan,nan,nan,nan,7.621357657353027207e+03,2.869200502681063881e+03,nan,nan
1.291838313191395748e+00,-1.327870299311241797e+04,-2.004621915519871436e+03,-9.633886369501942681e+03,-1.171120699224762211e+04,-7.791948409592510870e+03,-1.247622161072523340e+04,-4.161655200535689801e+03,4.161655200535690710e+03,-6.329283576994653231e+03,7.366566548626941767e+03,6.672520601537631592e+03,4.265308232119323861e+02,1.851851722560963935e+03,-5.614917655974176341e+03,nan,nan,nan,nan,nan,nan,7.140386119602930194e+03,2.644807897128041532e+03,nan,nan
1.317780967841550632e+00,-1.288821243623355804e+04,-2.282865250626543457e+03,-9.426401098781185283e+03,-1.129308244616895172e+04,-7.625640333757617555e+03,-1.207746903312032373e+04,-3.920675371620774968e+03,3.920675371620776332e+03,-5.996834647128766846e+03,6.921870396988869288e+03,6.224055501901959360e+03,2.493861060481772256e+02,1.645107500866447481e+03,-5.327476871018157908e+03,nan,nan,nan,nan,nan,nan,6.698862607632718209e+03,2.440574192396940362e+03,nan,nan
1.343723622491705738e+00,-1.253085281658271379e+04,-2.541525901017650995e+03,-9.237360248082200997e+03,-1.091342983867233488e+04,-7.479051308530920323e+03,-1.171465183160122979e+04,-3.697947329598361193e+03,3.697947329598362103e+03,-5.686010140712372049e+03,6.512346921312737322e+03,5.812286609180560845e+03,9.246154057397158965e+01,1.459022953968110187e+03,-5.058772501349187223e+03,nan,nan,nan,nan,nan,nan,6.292902045259536862e+03,2.254508705253698736e+03,nan,nan
1.369666277141860844e+00,-1.220316361419532404e+04,-2.782301536007773393e+03,-9.064999664009830667e+03,-1.056871695452581298e+04,-7.350237734189842740e+03,-1.138414226958360086e+04,-3.491775297757871613e+03,3.491775297757872977e+03,-5.395183247578292139e+03,6.134606460781389615e+03,5.433753993267704573e+03,-4.607931173205963660e+01,1.291710537189776460e+03,-4.807266141544866514e+03,nan,nan,nan,nan,nan,nan,5.919056824015817256e+03,2.084836847112725991e+03,nan,nan
1.395608931792015950e+00,-1.190210003981879709e+04,-3.006712457888534573e+03,-8.907741762217274299e+03,-1.025576214848776726e+04,-7.237429486827692017e+03,-1.108270725097959439e+04,-3.300649105864969442e+03,3.300649105864970352e+03,-5.122868246276114405e+03,5.785638806983444738e+03,5.085369899582243306e+03,-1.679079258772027856e+02,1.141444810093092656e+03,-4.571585493368631433e+03,nan,nan,nan,nan,nan,nan,5.574261919964538720e+03,1.929973564118300374e+03,nan,nan
1.421551586442171056e+00,-1.162497907817891792e+04,-3.216123641502614646e+03,-8.764172785373801162e+03,-9.971689584851579639e+03,-7.139011565319537112e+03,-1.080746254556173881e+04,-3.123220915135993437e+03,3.123220915135994801e+03,-4.867704635729064648e+03,5.462765418410597704e+03,4.764372732009795982e+03,-2.745522987844155409e+02,1.006644783734210023e+03,-4.350500829276386867e+03,nan,nan,nan,nan,nan,nan,5.255787643357314664e+03,1.788500576066145641e+03,nan,nan
1.447494241092326162e+00,-1.136943261743224321e+04,-3.411763581335456820e+03,-8.633023299633192437e+03,-9.713891676770144841e+03,-7.053509155618682598e+03,-1.055583284451082363e+04,-2.958285219979583417e+03,2.958285219979584326e+03,-4.628444011006511573e+03,5.163598272774207544e+03,4.468287551112775873e+03,-3.674145117094408874e+02,8.858597948741004302e+02,-4.142905356305386704e+03,nan,nan,nan,nan,nan,nan,4.961198832203759594e+03,1.659146792357054210e+03,nan,nan
1.473436895742481267e+00,-1.113336679876942435e+04,-3.594740467854943745e+03,-8.513151411465039928e+03,-9.479997625268651973e+03,-6.979575356312032454e+03,-1.032551675925286327e+04,-2.804761616522529039e+03,2.804761616522530403e+03,-4.403939019298166386e+03,4.886004348922533609e+03,4.194892059487568986e+03,-4.477849597538785247e+02,7.777581106868206007e+02,-3.947798835651513855e+03,nan,nan,nan,nan,nan,nan,4.688319510170268586e+03,1.540771393359322701e+03,nan,nan
1.499379550392636373e+00,-1.091492680617091901e+04,-3.766056122319841052e+03,-8.403528275086844587e+03,-9.267847091724190250e+03,-6.915980916937746770e+03,-1.011445605052420797e+04,-2.661679914624392495e+03,2.661679914624393405e+03,-4.193133906202262551e+03,4.628074897693020830e+03,3.942187221211238466e+03,-5.168537914002051821e+02,6.811175801982435587e+02,-3.764273902750796879e+03,nan,nan,nan,nan,nan,nan,4.435202197488284583e+03,1.432349155526226014e+03,nan,nan
1.525322205042791257e+00,-1.071246639618021800e+04,-3.926618043943792600e+03,-8.303225533307797377e+03,-9.075468148675299744e+03,-6.861605450271796144e+03,-9.920808507293266302e+03,-2.528167240835782195e+03,2.528167240835783559e+03,-3.995056294827129932e+03,4.388098797951143752e+03,3.708371805643580956e+03,-5.757200606604847053e+02,5.948177641059290863e+02,-3.591504615103151082e+03,nan,nan,nan,nan,nan,nan,4.200101199337427715e+03,1.332957672224850967e+03,nan,nan
1.551264859692946363e+00,-1.052452154312103266e+04,-4.077249861887142742e+03,-8.211404394413018963e+03,-8.901058751908358317e+03,-6.815429688554559107e+03,-9.742923996564832123e+03,-2.403436837712101351e+03,2.403436837712102715e+03,-3.808809938515272279e+03,4.164539406523448633e+03,3.491820263625119878e+03,-6.253990543037418774e+02,5.178330892145120288e+02,-3.428736829891252910e+03,nan,nan,nan,nan,nan,nan,3.981449306264253664e+03,1.241766182531888262e+03,nan,nan
