R_values,HFavg
1.074375619475675537e-08,2.870617116335654195e+00
1.095034189261591773e-08,2.618328721491880451e+00
1.115692759047507348e-08,2.394585772736115281e+00
1.136351328833423584e-08,2.195441729172351586e+00
1.157009898619339158e-08,2.017602455577435894e+00
1.177668468405255394e-08,1.858301458030843012e+00
1.198327038191170968e-08,1.715201919347937753e+00
1.218985607977087204e-08,1.586319198649189799e+00
1.239644177763002779e-08,1.469959082779819237e+00
1.260302747548919015e-08,1.364668255451205958e+00
1.280961317334834589e-08,1.269194312239218858e+00
1.301619887120750825e-08,1.182453285848978908e+00
1.322278456906666399e-08,1.103503119328325122e+00
1.342937026692582635e-08,1.031521879667973041e+00
1.363595596478498871e-08,9.657897721396322410e-01
1.384254166264414446e-08,9.056742195229452452e-01
1.404912736050330682e-08,8.506174264986603450e-01
1.425571305836246256e-08,8.001259699115450541e-01
1.446229875622162492e-08,7.537620491130059275e-01
1.466888445408078066e-08,7.111361036458098139e-01
1.487547015193994302e-08,6.719005629108554256e-01
1.508205584979909877e-08,6.357445376866029951e-01
1.528864154765826113e-08,6.023892990619578169e-01
1.549522724551741687e-08,5.715844184240637116e-01
1.570181294337657923e-08,5.431044640881810270e-01
1.590839864123573497e-08,5.167461671726009120e-01
1.611498433909489733e-08,4.923259825015072755e-01
1.632157003695405307e-08,4.696779807346665447e-01
1.652815573481321543e-08,4.486520166083676209e-01
1.673474143267237118e-08,4.291121260018667116e-01
1.694132713053153354e-08,4.101312480558694240e-01
1.714791282839068928e-08,3.924317251604591550e-01
1.735449852624985164e-08,3.759114391261919041e-01
1.756108422410900738e-08,3.604776100807189354e-01
1.776766992196816974e-08,3.453829860332369717e-01
1.797425561982732549e-08,3.312392211722202107e-01
1.818084131768648785e-08,3.176619101718749505e-01
1.838742701554564359e-08,3.049122622083534906e-01
1.859401271340480595e-08,2.929308980276260632e-01
1.880059841126396169e-08,2.816634412195960224e-01
1.900718410912312405e-08,2.705262106238571773e-01
1.921376980698227980e-08,2.600259616775874028e-01
1.942035550484144216e-08,2.501198548162521518e-01
