R_values,C3
1.000000000000000062e-09,-8.972027113834366901e+03
1.099099099099099171e-09,-6.757406134059904616e+03
1.198198198198198280e-09,-5.215603773008929238e+03
1.297297297297297389e-09,-4.109339639368600729e+03
1.396396396396396498e-09,-3.295068286051601717e+03
1.495495495495495607e-09,-2.682472322237215849e+03
1.594594594594594509e-09,-2.212787526461091147e+03
1.693693693693693825e-09,-1.846655849035198344e+03
1.792792792792792727e-09,-1.557041845895269262e+03
1.891891891891892043e-09,-1.324956528854379485e+03
1.990990990990990945e-09,-1.136796408043462179e+03
2.090090090090089848e-09,-9.826425346179706821e+02
2.189189189189189163e-09,-8.551468354851288041e+02
2.288288288288288479e-09,-7.487871173091415358e+02
2.387387387387387381e-09,-6.593589292487308740e+02
2.486486486486486284e-09,-5.836228237715907881e+02
2.585585585585585599e-09,-5.190555313920032177e+02
2.684684684684684915e-09,-4.636718406828675825e+02
2.783783783783783817e-09,-4.158953603206036291e+02
2.882882882882882720e-09,-3.744635746374638074e+02
2.981981981981982035e-09,-3.383572857058235854e+02
3.081081081081081351e-09,-3.067476155936321902e+02
3.180180180180179840e-09,-2.789558012527302822e+02
3.279279279279279156e-09,-2.544224103825405336e+02
3.378378378378378471e-09,-2.326835657712907732e+02
3.477477477477477787e-09,-2.133524329707013294e+02
3.576576576576576276e-09,-1.961046959371976186e+02
3.675675675675675592e-09,-1.806670796058656379e+02
3.774774774774774907e-09,-1.668082187606784430e+02
3.873873873873874223e-09,-1.543313470979965416e+02
3.972972972972972712e-09,-1.430684082555210352e+02
4.072072072072072028e-09,-1.328752850788250726e+02
4.171171171171171343e-09,-1.236279138040283101e+02
4.270270270270269832e-09,-1.152191026970108823e+02
4.369369369369369148e-09,-1.075559146701647961e+02
4.468468468468468464e-09,-1.005575038467896434e+02
4.567567567567567779e-09,-9.415331938700127523e+01
4.666666666666666268e-09,-8.828160789851604306e+01
4.765765765765765584e-09,-8.288815973348471289e+01
4.864864864864864900e-09,-7.792525538358235337e+01
