R_values,HFavg
8.183971876728228037e-09,1.642860693550398210e+01
8.390557574587387088e-09,1.486434694514552390e+01
8.597143272446546140e-09,1.348253433335635698e+01
8.803728970305705191e-09,1.225747722357056446e+01
9.010314668164864243e-09,1.117219626162051505e+01
9.216900366024023294e-09,1.020417033115933947e+01
9.423486063883182346e-09,9.340383227720236547e+00
9.630071761742341397e-09,8.565862495621615835e+00
9.836657459601500449e-09,7.869709123534656570e+00
1.004324315746065950e-08,7.242596730158652463e+00
1.024982885531981855e-08,6.680067048068860203e+00
1.045641455317897760e-08,6.171515149730303129e+00
1.066300025103813665e-08,5.710946146153839109e+00
1.086958594889729571e-08,5.293143225324519641e+00
1.107617164675645641e-08,4.913549817404200049e+00
1.128275734461561546e-08,4.569602852038277874e+00
1.148934304247477452e-08,4.256312644282234992e+00
1.169592874033393357e-08,3.970582368868344147e+00
1.190251443819309262e-08,3.709671664391060997e+00
1.210910013605225167e-08,3.471148657497488355e+00
1.231568583391141072e-08,3.252849415504408981e+00
1.252227153177056977e-08,3.052843572017274631e+00
1.272885722962972882e-08,2.869405106738192490e+00
1.293544292748888788e-08,2.701959087020875838e+00
1.314202862534804693e-08,2.548122723979251436e+00
1.334861432320720598e-08,2.407570586252641753e+00
1.355520002106636503e-08,2.278226747062172652e+00
1.376178571892552574e-08,2.159080326204957156e+00
1.396837141678468479e-08,2.049219474607093083e+00
1.417495711464384384e-08,1.947821167339756077e+00
1.438154281250300289e-08,1.848783121513512651e+00
1.458812851036216194e-08,1.756994195143011250e+00
1.479471420822132099e-08,1.671842325972897836e+00
1.500129990608048005e-08,1.592773523756450205e+00
1.520788560393963910e-08,1.516193388169893019e+00
1.541447130179879815e-08,1.444880478152405390e+00
1.562105699965795720e-08,1.376326743034459010e+00
1.582764269751711625e-08,1.313615261412270918e+00
1.603422839537627530e-08,1.255073233730202853e+00
1.624081409323543435e-08,1.200385137939590452e+00
1.644739979109459341e-08,1.145704121685999999e+00
1.665398548895375246e-08,1.094450452359883252e+00
1.686057118681291151e-08,1.046378133760641704e+00
1.706715688467207387e-08,1.001261773022678714e+00
1.727374258253122961e-08,9.588946475583340900e-01
1.748032828039039197e-08,9.176561020119907708e-01
1.768691397824954772e-08,8.788488747876336271e-01
1.789349967610871008e-08,8.423103332710331070e-01
1.810008537396786582e-08,8.078906383131808644e-01
1.830667107182702818e-08,7.754515969861198732e-01
1.851325676968618392e-08,7.448656267461372105e-01
1.871984246754534628e-08,7.160148194699360591e-01
1.892642816540450202e-08,6.887900951040200059e-01
1.913301386326366439e-08,6.621187954565712630e-01
1.933959956112282013e-08,6.369016696775990916e-01
1.954618525898198249e-08,6.121288260768149581e-01
1.975277095684113823e-08,5.886713802289561537e-01
1.995935665470030059e-08,5.664519127124548747e-01
2.016594235255945633e-08,5.453983217270460537e-01
2.037252805041861869e-08,5.254433897227894779e-01
2.057911374827777444e-08,5.065243893851153478e-01
2.078569944613693680e-08,4.885827252274942412e-01
2.099228514399609254e-08,4.715636074276087775e-01
2.119887084185525490e-08,4.554157548839370406e-01
2.140545653971441064e-08,4.387645084220560543e-01
2.161204223757357300e-08,4.229210156131232856e-01
2.181862793543272875e-08,4.078420588106989042e-01
2.202521363329189111e-08,3.921968385739689755e-01
2.223179933115105347e-08,3.772726555691949812e-01
2.243838502901020921e-08,3.630323893727839812e-01
2.264497072686937157e-08,3.494410803135907240e-01
2.285155642472852731e-08,3.364657784992945988e-01
2.305814212258768967e-08,3.240754054194386891e-01
2.326472782044684542e-08,3.126170951134540354e-01
2.347131351830600778e-08,3.016792102737995140e-01
