R_values,HFavg
1.041447130179879804e-08,5.658290998161101371e+00
1.062105699965795710e-08,5.155322365574849464e+00
1.082764269751711615e-08,4.709388398621314309e+00
1.103422839537627520e-08,4.312711342653962276e+00
1.124081409323543425e-08,3.958590020652291042e+00
1.144739979109459330e-08,3.641493664463478552e+00
1.165398548895375235e-08,3.356750755009610288e+00
1.186057118681291140e-08,3.100448703166319930e+00
1.206715688467207377e-08,2.869144998760732701e+00
1.227374258253122951e-08,2.659934886516059471e+00
1.248032828039039187e-08,2.470315347907746872e+00
1.268691397824954761e-08,2.298120156028577554e+00
1.289349967610870997e-08,2.141466826135074442e+00
1.310008537396786571e-08,1.998713046761101841e+00
1.330667107182702807e-08,1.868420712110863136e+00
1.351325676968618382e-08,1.749326084042205576e+00
1.371984246754534618e-08,1.640314924203575497e+00
1.392642816540450192e-08,1.540401677740489861e+00
1.413301386326366428e-08,1.448711976999089712e+00
1.433959956112282002e-08,1.364467879759631908e+00
1.454618525898198238e-08,1.286975371287165437e+00
1.475277095684113813e-08,1.215613749947798583e+00
1.495935665470030214e-08,1.149826587518973264e+00
1.516594235255945788e-08,1.089114011483238498e+00
1.537252805041862024e-08,1.033026100486320820e+00
1.557911374827777599e-08,9.811572181713990037e-01
1.578569944613693835e-08,9.331411369611095630e-01
1.599228514399609409e-08,8.886468241905322030e-01
1.619887084185525645e-08,8.473747803656607180e-01
1.640545653971441219e-08,8.090538349804865526e-01
1.661204223757357455e-08,7.718305923507707833e-01
1.681862793543273030e-08,7.372146939557100431e-01
1.702521363329189266e-08,7.049374538336035112e-01
1.723179933115105502e-08,6.748842475977826494e-01
1.743838502901021076e-08,6.454895868145037463e-01
1.764497072686937312e-08,6.179774097110615205e-01
1.785155642472852886e-08,5.915795110033519322e-01
1.805814212258769122e-08,5.668188910400628888e-01
1.826472782044684697e-08,5.435773509937770198e-01
1.847131351830600933e-08,5.217466764108940058e-01
1.867789921616516507e-08,5.001600229744075365e-01
1.888448491402432743e-08,4.798314001030931086e-01
1.909107061188348317e-08,4.606756086112098192e-01
1.929765630974264553e-08,4.426142571683308047e-01
1.950424200760180127e-08,4.255751421632932296e-01
1.971082770546096363e-08,4.090624296774063584e-01
1.991741340332011938e-08,3.934578191687810311e-01
2.012399910117928174e-08,3.787038823608820937e-01
2.033058479903843748e-08,3.647474832832566238e-01
2.053717049689759984e-08,3.515394069650985553e-01
2.074375619475675558e-08,3.390340235367045318e-01
2.095034189261591794e-08,3.271889841089840600e-01
2.115692759047507369e-08,3.159649451977126766e-01
2.136351328833423605e-08,3.050338267096120992e-01
2.157009898619339179e-08,2.946598888238273761e-01
2.177668468405255415e-08,2.845345000449430728e-01
2.198327038191170989e-08,2.749136153041316089e-01
2.218985607977087225e-08,2.657688980132234535e-01
2.239644177763002800e-08,2.570738615554506445e-01
2.260302747548919036e-08,2.488037258708464261e-01
2.280961317334834610e-08,2.409352866655949943e-01
2.301619887120750846e-08,2.334467960538814391e-01
2.322278456906666420e-08,2.263178535624812970e-01
2.342937026692582656e-08,2.195293065367329155e-01
2.363595596478498892e-08,2.126651741780278826e-01
2.384254166264414467e-08,2.061153936074184290e-01
2.404912736050330703e-08,1.998637593981932581e-01
2.425571305836246277e-08,1.935079501925208167e-01
2.446229875622162513e-08,1.874312252983212079e-01
2.466888445408078087e-08,1.816196607652128814e-01
2.487547015193994323e-08,1.760601167553538515e-01
2.508205584979909897e-08,1.707401854301834609e-01
2.528864154765826133e-08,1.656481429499749580e-01
2.549522724551741708e-08,1.607729052290774174e-01
