R_values,HFavg
1.024982885531981855e-08,1.075737268638392408e+01
1.045641455317897760e-08,9.772694510592399908e+00
1.066300025103813665e-08,8.900938052972559689e+00
1.086958594889729571e-08,8.126973843106862105e+00
1.107617164675645641e-08,7.437097333559629320e+00
1.128275734461561546e-08,6.820860307097080799e+00
1.148934304247477452e-08,6.268404062986911995e+00
1.169592874033393357e-08,5.771847171899103124e+00
1.190251443819309262e-08,5.324466199300545988e+00
1.210910013605225167e-08,4.920497869514626643e+00
1.231568583391141072e-08,4.554979387929365409e+00
1.252227153177056977e-08,4.223618781377112441e+00
1.272885722962972882e-08,3.922689009555276662e+00
1.293544292748888788e-08,3.648941019164673616e+00
1.314202862534804693e-08,3.400327953711461682e+00
1.334861432320720598e-08,3.173539978788400440e+00
1.355520002106636503e-08,2.966378661060137478e+00
1.376178571892552574e-08,2.777675276538032367e+00
1.396837141678468479e-08,2.604912419192763284e+00
1.417495711464384384e-08,2.446559999957818476e+00
1.438154281250300289e-08,2.301254311052769896e+00
1.458812851036216194e-08,2.167776896668088593e+00
1.479471420822132099e-08,2.045036565061322698e+00
1.500129990608048005e-08,1.932054037345516617e+00
1.520788560393963910e-08,1.827948815968224672e+00
1.541447130179879815e-08,1.731927923883313181e+00
1.562105699965795720e-08,1.643276218084994689e+00
1.582764269751711625e-08,1.561348022789796675e+00
1.603422839537627530e-08,1.485559862252406438e+00
1.624081409323543435e-08,1.415384104480519989e+00
1.644739979109459341e-08,1.347127901129216321e+00
1.665398548895375246e-08,1.283695235187045203e+00
1.686057118681291151e-08,1.224691510021155949e+00
1.706715688467207387e-08,1.169758786238466408e+00
1.727374258253122961e-08,1.115920578393879259e+00
1.748032828039039197e-08,1.065635404047564849e+00
1.768691397824954772e-08,1.017376954492142493e+00
1.789349967610871008e-08,9.722008221536069250e-01
1.810008537396786582e-08,9.298797182159803665e-01
1.830667107182702818e-08,8.902058652531077421e-01
1.851325676968618392e-08,8.508537927191183181e-01
1.871984246754534628e-08,8.138593266754265976e-01
1.892642816540450202e-08,7.790594863195383635e-01
1.913301386326366439e-08,7.463045369003242779e-01
1.933959956112282013e-08,7.154567683221754182e-01
1.954618525898198249e-08,6.855308769333077201e-01
1.975277095684113823e-08,6.572963097772155372e-01
1.995935665470030059e-08,6.306439583614070754e-01
2.016594235255945633e-08,6.054730138996436972e-01
2.037252805041861869e-08,5.816902390829961078e-01
2.057911374827777444e-08,5.592093099382791088e-01
2.078569944613693680e-08,5.379502205573005735e-01
2.099228514399609254e-08,5.178387442700703724e-01
2.119887084185525490e-08,4.984488422010638908e-01
2.140545653971441064e-08,4.800827077449544289e-01
2.161204223757357300e-08,4.621270218298775267e-01
2.181862793543272875e-08,4.450974470323110777e-01
2.202521363329189111e-08,4.290502344335375695e-01
2.223179933115105347e-08,4.138237982209209687e-01
2.243838502901020921e-08,3.993719035174943532e-01
2.264497072686937157e-08,3.856513078861287802e-01
2.285155642472852731e-08,3.726215306800423899e-01
2.305814212258768967e-08,3.602446427148721653e-01
