R_values,HFavg
1.000000000000000062e-09,3.322973005123839698e+02
1.099099099099099171e-09,3.675292417920219918e+02
1.198198198198198280e-09,4.079231443974087483e+02
1.297297297297297389e-09,4.544600893970521724e+02
1.396396396396396498e-09,5.083536960047802609e+02
1.495495495495495607e-09,5.711170503764872137e+02
1.594594594594594509e-09,6.446525867053049978e+02
1.693693693693693825e-09,7.313741692137962218e+02
1.792792792792792727e-09,8.343749569461980400e+02
1.891891891891892043e-09,9.576613087650083571e+02
1.990990990990990945e-09,1.106483455460470850e+03
2.090090090090089848e-09,1.287810408688926145e+03
2.189189189189189163e-09,1.511023927135492158e+03
2.288288288288288479e-09,1.788952094142063061e+03
2.387387387387387381e-09,2.139441524506294172e+03
2.486486486486486284e-09,2.587805720418708461e+03
2.585585585585585599e-09,3.170739452930715743e+03
2.684684684684684915e-09,3.942765487665195906e+03
2.783783783783783817e-09,4.987216344549267887e+03
2.882882882882882720e-09,6.435680246194529900e+03
2.981981981981982035e-09,8.504018245044799187e+03
3.081081081081081351e-09,1.156269309477540082e+04
3.180180180180179840e-09,1.628303426448255777e+04
3.279279279279279156e-09,2.396566877679764366e+04
3.378378378378378471e-09,3.735186072138175950e+04
3.477477477477477787e-09,6.288912221555012366e+04
3.576576576576576276e-09,1.181859743382522574e+05
3.675675675675675592e-09,2.629977369195896317e+05
3.774774774774774907e-09,7.853070344781051390e+05
3.873873873873874223e-09,4.471728284883542918e+06
3.972972972972972712e-09,4.544600893970265985e+08
4.072072072072072028e-09,-2.396566877679797262e+07
4.171171171171171343e-09,-1.788952094142065616e+06
4.270270270270269832e-09,-4.544600893970557372e+05
4.369369369369369148e-09,-1.780360472674578195e+05
4.468468468468468464e-09,-8.726688676121154276e+04
4.567567567567567779e-09,-4.907246403164371441e+04
4.666666666666666268e-09,-3.028059150919108652e+04
4.765765765765765584e-09,-1.998033366777192350e+04
4.864864864864864900e-09,-1.386902128286903826e+04
4.963963963963963388e-09,-1.001631976487392240e+04
5.063063063063062704e-09,-7.468157901806193877e+03
5.162162162162162020e-09,-5.715975818444322613e+03
5.261261261261261336e-09,-4.471728284883534798e+03
5.360360360360359824e-09,-3.563925950070283307e+03
5.459459459459459140e-09,-2.886120569762312698e+03
5.558558558558558456e-09,-2.369851889108736941e+03
5.657657657657657772e-09,-1.969727030229118554e+03
5.756756756756756260e-09,-1.654838741545936728e+03
5.855855855855855576e-09,-1.403646841082038691e+03
5.954954954954954892e-09,-1.200826634858456373e+03
6.054054054054053380e-09,-1.035273202628510262e+03
6.153153153153152696e-09,-8.988056853926854046e+02
6.252252252252252012e-09,-7.853070344781068570e+02
6.351351351351351328e-09,-6.901412588812087279e+02
6.450450450450449816e-09,-6.097513936697970394e+02
6.549549549549549132e-09,-5.413775061163369173e+02
6.648648648648648448e-09,-4.828558778623836361e+02
6.747747747747747764e-09,-4.324739925798341460e+02
6.846846846846846252e-09,-3.888644716024119816e+02
6.945945945945945568e-09,-3.509265733794784410e+02
7.045045045045044884e-09,-3.177674529311294691e+02
7.144144144144144200e-09,-2.886577571424612643e+02
7.243243243243242688e-09,-2.629977369195906363e+02
7.342342342342342004e-09,-2.402911549740273927e+02
7.441441441441441320e-09,-2.201250283931852323e+02
7.540540540540540636e-09,-2.021537782042863398e+02
7.639639639639639952e-09,-1.860867360260559167e+02
7.738738738738739267e-09,-1.716782286231818375e+02
7.837837837837838583e-09,-1.587196570505838338e+02
7.936936936936936245e-09,-1.470331301177006935e+02
8.036036036036035560e-09,-1.364663172877055217e+02
