R_values,C3
1.000000000000000062e-09,-1.166363524798467733e+04
1.099099099099099171e-09,-8.784627974277877001e+03
1.198198198198198280e-09,-6.780284904911608464e+03
1.297297297297297389e-09,-5.342141531179181584e+03
1.396396396396396498e-09,-4.283588771867081959e+03
1.495495495495495607e-09,-3.487214018908380694e+03
1.594594594594594509e-09,-2.876623784399418582e+03
1.693693693693693825e-09,-2.400652603745757915e+03
1.792792792792792727e-09,-2.024154399663850199e+03
1.891891891891892043e-09,-1.722443487510693330e+03
1.990990990990990945e-09,-1.477835330456500969e+03
2.090090090090089848e-09,-1.277435295003361944e+03
2.189189189189189163e-09,-1.111690886130667423e+03
2.288288288288288479e-09,-9.734232525018840079e+02
2.387387387387387381e-09,-8.571666080233501361e+02
2.486486486486486284e-09,-7.587096709030680586e+02
2.585585585585585599e-09,-6.747721908096042398e+02
2.684684684684684915e-09,-6.027733928877278231e+02
2.783783783783783817e-09,-5.406639684167847690e+02
2.882882882882882720e-09,-4.868026470287029497e+02
2.981981981981982035e-09,-4.398644714175706554e+02
3.081081081081081351e-09,-3.987719002717218473e+02
3.180180180180179840e-09,-3.626425416285493952e+02
3.279279279279279156e-09,-3.307491334973026937e+02
3.378378378378378471e-09,-3.024886355026779938e+02
3.477477477477477787e-09,-2.773581628619117510e+02
3.576576576576576276e-09,-2.549361047183569156e+02
3.675675675675675592e-09,-2.348672034876253463e+02
3.774774774774774907e-09,-2.168506843888819731e+02
3.873873873873874223e-09,-2.006307512273955069e+02
3.972972972972972712e-09,-1.859889307321773515e+02
4.072072072072072028e-09,-1.727378706024726114e+02
4.171171171171171343e-09,-1.607162879452368145e+02
4.270270270270269832e-09,-1.497848335061141540e+02
4.369369369369369148e-09,-1.398226890712142279e+02
4.468468468468468464e-09,-1.307247550008265478e+02
4.567567567567567779e-09,-1.223993152031016649e+02
4.666666666666666268e-09,-1.147660902680708546e+02
4.765765765765765584e-09,-1.077546076535301296e+02
4.864864864864864900e-09,-1.013028319986570693e+02
4.963963963963963388e-09,-9.535600977427048974e+01
5.063063063063062704e-09,-8.986569126267467311e+01
5.162162162162162020e-09,-8.478889982552318827e+01
5.261261261261261336e-09,-8.008742396819928899e+01
5.360360360360359824e-09,-7.572721215190514954e+01
5.459459459459459140e-09,-7.167785387670305397e+01
5.558558558558558456e-09,-6.791213344302727251e+01
5.657657657657657772e-09,-6.440564513765519905e+01
5.756756756756756260e-09,-6.113646049355826051e+01
5.855855855855855576e-09,-5.808483982826231795e+01
5.954954954954954892e-09,-5.523298154069178878e+01
6.054054054054053380e-09,-5.256480369600507885e+01
6.153153153153152696e-09,-5.006575329457564294e+01
6.252252252252252012e-09,-4.772263933925604817e+01
6.351351351351351328e-09,-4.552348641177141531e+01
6.450450450450449816e-09,-4.345740596653414656e+01
6.549549549549549132e-09,-4.151448296609663657e+01
6.648648648648648448e-09,-3.968567583122329978e+01
6.747747747747747764e-09,-3.796272797182526659e+01
6.846846846846846252e-09,-3.633808941226067901e+01
6.945945945945945568e-09,-3.480484723351941767e+01
7.045045045045044884e-09,-3.335666373194843004e+01
7.144144144144144200e-09,-3.198772134466227257e+01
7.243243243243242688e-09,-3.069267351993971005e+01
7.342342342342342004e-09,-2.946660082029550409e+01
7.441441441441441320e-09,-2.830497163949864259e+01
7.540540540540540636e-09,-2.720360699504066915e+01
7.639639639639639952e-09,-2.615864892649383577e+01
7.738738738738739267e-09,-2.516653208954961229e+01
7.837837837837838583e-09,-2.422395818673040324e+01
7.936936936936936245e-09,-2.332787292002657864e+01
8.036036036036035560e-09,-2.247544518904082267e+01
8.135135135135134876e-09,-2.166404829147992217e+01
8.234234234234234192e-09,-2.089124291174162451e+01
8.333333333333333508e-09,-2.015476170851752258e+01
8.432432432432432823e-09,-1.945249533428923172e+01
8.531531531531532139e-09,-1.878247973877991228e+01
8.630630630630631455e-09,-1.814288462521283662e+01
8.729729729729730771e-09,-1.753200294294563477e+01
8.828828828828830087e-09,-1.694824131296964964e+01
8.927927927927927748e-09,-1.639011129412456214e+01
9.027027027027027064e-09,-1.585622140788257539e+01
9.126126126126126380e-09,-1.534526984837877883e+01
9.225225225225225695e-09,-1.485603781215523611e+01
9.324324324324325011e-09,-1.438738338897668889e+01
9.423423423423424327e-09,-1.393823596117703190e+01
9.522522522522523643e-09,-1.350759106440629509e+01
9.621621621621621304e-09,-1.309450566745151434e+01
9.720720720720720620e-09,-1.269809383307558193e+01
9.819819819819819936e-09,-1.231752272561968553e+01
9.918918918918919252e-09,-1.195200893450248003e+01
1.001801801801801857e-08,-1.160081508577239617e+01
1.011711711711711788e-08,-1.126324671656965926e+01
1.021621621621621720e-08,-1.093864938976968304e+01
1.031531531531531651e-08,-1.062640602824202851e+01
1.041441441441441418e-08,-1.032593445009710464e+01
1.051351351351351349e-08,-1.003668508803198200e+01
1.061261261261261281e-08,-9.758138877449070492e+00
1.071171171171171212e-08,-9.489805299425734475e+00
1.081081081081081144e-08,-9.231220565877622519e+00
1.090990990990991076e-08,-8.981945935397536829e+00
1.100900900900901007e-08,-8.741566149279044851e+00
1.110810810810810773e-08,-8.509687978161663224e+00
1.120720720720720705e-08,-8.285938870572366000e+00
1.130630630630630636e-08,-8.069965695396367877e+00
1.140540540540540568e-08,-7.861433570996102738e+00
1.150450450450450500e-08,-7.660024774319269980e+00
1.160360360360360431e-08,-7.465437723900446798e+00
1.170270270270270363e-08,-7.277386031172709657e+00
1.180180180180180294e-08,-7.095597614970449385e+00
1.190090090090090060e-08,-6.919813874527320330e+00
1.199999999999999992e-08,-6.749788916657801785e+00
1.209909909909909924e-08,-6.585288833161133226e+00
1.219819819819819855e-08,-6.426091024805489660e+00
1.229729729729729787e-08,-6.271983568541442011e+00
1.239639639639639718e-08,-6.122764624859481586e+00
1.249549549549549650e-08,-5.978241882449050415e+00
1.259459459459459416e-08,-5.838232037538490182e+00
1.269369369369369348e-08,-5.702560305498242776e+00
1.279279279279279279e-08,-5.571059962475495730e+00
1.289189189189189211e-08,-5.443571914998667438e+00
1.299099099099099142e-08,-5.319944295646205745e+00
1.309009009009009074e-08,-5.200032083017334550e+00
1.318918918918919006e-08,-5.083696744373771281e+00
1.328828828828828937e-08,-4.970805899442193088e+00
1.338738738738738703e-08,-4.861233003978172817e+00
1.348648648648648635e-08,-4.754857051794345146e+00
1.358558558558558566e-08,-4.651562294049563562e+00
1.368468468468468498e-08,-4.551237974682194043e+00
1.378378378378378430e-08,-4.453778080950524298e+00
1.388288288288288361e-08,-4.359081108116693137e+00
1.398198198198198293e-08,-4.267049837378362298e+00
1.408108108108108059e-08,-4.177591126214969641e+00
1.418018018018017990e-08,-4.090615710373183944e+00
1.427927927927927922e-08,-4.006038016769677412e+00
1.437837837837837854e-08,-3.923775986638663227e+00
1.447747747747747785e-08,-3.843750908297429714e+00
1.457657657657657717e-08,-3.765887258945390226e+00
1.467567567567567648e-08,-3.690112554951375134e+00
1.477477477477477580e-08,-3.616357210120221932e+00
1.487387387387387346e-08,-3.544554401463392956e+00
1.497297297297297112e-08,-3.474639942029601247e+00
1.507207207207207209e-08,-3.406552160380436955e+00
1.517117117117116975e-08,-3.340231786322903851e+00
1.527027027027027072e-08,-3.275621842535776373e+00
1.536936936936936839e-08,-3.212667541750020117e+00
1.546846846846846936e-08,-3.151316189165042303e+00
1.556756756756756702e-08,-3.091517089802767071e+00
1.566666666666666468e-08,-3.033221460520178603e+00
1.576576576576576565e-08,-2.976382346418478875e+00
1.586486486486486331e-08,-2.920954541403252502e+00
1.596396396396396097e-08,-2.866894512665124850e+00
1.606306306306306194e-08,-2.814160328864644178e+00
1.616216216216215960e-08,-2.762711591818181933e+00
1.626126126126126057e-08,-2.712509371494016719e+00
1.636036036036035823e-08,-2.663516144139269848e+00
1.645945945945945920e-08,-2.615695733369010956e+00
1.655855855855855687e-08,-2.569013254059015150e+00
1.665765765765765784e-08,-2.523435058892871563e+00
1.675675675675675550e-08,-2.478928687423081367e+00
1.685585585585585316e-08,-2.435462817513844413e+00
1.695495495495495413e-08,-2.393007219041022537e+00
1.705405405405405179e-08,-2.351532709731915638e+00
1.715315315315315276e-08,-2.311011113034214137e+00
1.725225225225225042e-08,-2.271415217909863671e+00
1.735135135135135139e-08,-2.232718740455429618e+00
1.745045045045044905e-08,-2.194896287256178802e+00
1.754954954954954672e-08,-2.157923320386229360e+00
1.764864864864864769e-08,-2.121776123972082928e+00
1.774774774774774535e-08,-2.086431772241399418e+00
1.784684684684684632e-08,-2.051868098983200106e+00
1.794594594594594398e-08,-2.018063668349758810e+00
1.804504504504504495e-08,-1.984997746934204166e+00
1.814414414414414261e-08,-1.952650277061503070e+00
1.824324324324324027e-08,-1.921001851233794300e+00
1.834234234234234124e-08,-1.890033687674270713e+00
1.844144144144143890e-08,-1.859727606916760534e+00
1.854054054054053987e-08,-1.830066009390957538e+00
1.863963963963963753e-08,-1.801031853955949780e+00
1.873873873873873850e-08,-1.772608637337106829e+00
1.883783783783783617e-08,-1.744780374423821501e+00
1.893693693693693383e-08,-1.717531579387743479e+00
1.903603603603603480e-08,-1.690847247583283419e+00
1.913513513513513246e-08,-1.664712838194108313e+00
1.923423423423423343e-08,-1.639114257591207879e+00
1.933333333333333109e-08,-1.614037843369892755e+00
1.943243243243243206e-08,-1.589470349034698637e+00
1.953153153153152972e-08,-1.565398929302789677e+00
1.963063063063063069e-08,-1.541811125997869514e+00
1.972972972972972835e-08,-1.518694854508075842e+00
1.982882882882882602e-08,-1.496038390782584493e+00
1.992792792792792699e-08,-1.473830358842959987e+00
2.002702702702702465e-08,-1.452059718786425480e+00
2.012612612612612562e-08,-1.430715755259365451e+00
2.022522522522522328e-08,-1.409788066380432525e+00
2.032432432432432425e-08,-1.389266553093610357e+00
2.042342342342342191e-08,-1.369141408932569082e+00
2.052252252252251957e-08,-1.349403110178501786e+00
2.062162162162162054e-08,-1.330042406394524201e+00
2.072072072072071820e-08,-1.311050311320501427e+00
2.081981981981981917e-08,-1.292418094112927296e+00
2.091891891891891683e-08,-1.274137270915228770e+00
2.101801801801801780e-08,-1.256199596744526525e+00
2.111711711711711547e-08,-1.238597057681561919e+00
2.121621621621621313e-08,-1.221321863351091830e+00
2.131531531531531410e-08,-1.204366439680665479e+00
2.141441441441441176e-08,-1.187723421926240475e+00
2.151351351351351273e-08,-1.171385647953616882e+00
2.161261261261261039e-08,-1.155346151765197948e+00
2.171171171171171136e-08,-1.139598157262027955e+00
2.181081081081080902e-08,-1.124135072231546850e+00
2.190990990990990668e-08,-1.108950482551900762e+00
2.200900900900900765e-08,-1.094038146604080719e+00
2.210810810810810532e-08,-1.079391989883544012e+00
2.220720720720720629e-08,-1.065006099803331940e+00
2.230630630630630395e-08,-1.050874720681076679e+00
2.240540540540540492e-08,-1.036992248902594005e+00
2.250450450450450258e-08,-1.023353228255109437e+00
2.260360360360360355e-08,-1.009952345423438480e+00
2.270270270270270121e-08,-9.967844256427629279e-01
2.280180180180179887e-08,-9.838444285018893565e-01
2.290090090090089984e-08,-9.711274438911680074e-01
2.299999999999999750e-08,-9.586286880894784312e-01
2.309909909909909847e-08,-9.463434999849354989e-01
2.319819819819819613e-08,-9.342673374242044249e-01
2.329729729729729711e-08,-9.223957736855097345e-01
2.339639639639639477e-08,-9.107244940706574754e-01
2.349549549549549243e-08,-8.992492926115576157e-01
2.359459459459459340e-08,-8.879660688869469576e-01
