R_values,energy
1.000000000000000062e-09,1.427942464721250644e+03
2.000000000000000125e-09,1.784928080901563305e+02
3.000000000000000394e-09,5.288675795263891644e+01
4.000000000000000249e-09,2.231160101126954132e+01
5.000000000000000105e-09,1.142353971777000687e+01
5.999999999999999960e-09,6.610844744079866331e+00
7.000000000000000643e-09,4.163097564784987270e+00
8.000000000000000498e-09,2.788950126408692665e+00
9.000000000000001181e-09,1.958768813060699943e+00
1.000000000000000186e-08,1.427942464721250415e+00
1.100000000000000089e-08,1.072834308580954854e+00
1.200000000000000157e-08,8.263555930099830693e-01
1.300000000000000226e-08,6.499510535827266455e-01
1.400000000000000129e-08,5.203871955981234088e-01
1.500000000000000197e-08,4.230940636211112937e-01
1.600000000000000100e-08,3.486187658010865831e-01
1.700000000000000002e-08,2.906457286222778325e-01
1.799999999999999905e-08,2.448461016325876871e-01
1.900000000000000139e-08,2.081852259398236649e-01
2.000000000000000042e-08,1.784928080901563574e-01
2.099999999999999945e-08,1.541887986957403145e-01
2.200000000000000178e-08,1.341042885726193568e-01
2.300000000000000081e-08,1.173619186916455143e-01
2.399999999999999984e-08,1.032944491262479114e-01
2.500000000000000218e-08,9.138831774216005233e-02
2.600000000000000121e-08,8.124388169784085845e-02
2.700000000000000023e-08,7.254699307632225813e-02
2.799999999999999926e-08,6.504839944976543997e-02
2.900000000000000160e-08,5.854862703354999504e-02
3.000000000000000394e-08,5.288675795263891172e-02
3.100000000000000627e-08,4.793200848314088658e-02
3.200000000000000199e-08,4.357734572513582288e-02
3.300000000000000433e-08,3.973460402151683668e-02
3.400000000000000667e-08,3.633071607778470824e-02
3.500000000000000239e-08,3.330478051827990421e-02
3.600000000000000472e-08,3.060576270407343660e-02
3.700000000000000706e-08,2.819067902634099163e-02
3.800000000000000278e-08,2.602315324247795811e-02
3.900000000000000512e-08,2.407226124380469276e-02
4.000000000000000745e-08,2.231160101126953774e-02
4.100000000000000317e-08,2.071853955574136721e-02
4.200000000000000551e-08,1.927359983696753237e-02
4.300000000000000785e-08,1.795995905670255688e-02
4.400000000000000357e-08,1.676303607157741959e-02
4.500000000000000590e-08,1.567015050448559987e-02
4.600000000000000824e-08,1.467023983645568408e-02
4.700000000000000396e-08,1.375362361635909872e-02
4.800000000000000630e-08,1.291180614078098546e-02
4.900000000000000864e-08,1.213731068450433354e-02
5.000000000000000435e-08,1.142353971777000654e-02
5.100000000000000669e-08,1.076465661563991670e-02
5.200000000000000241e-08,1.015548521223010731e-02
5.300000000000000475e-08,9.591424227525076340e-03
5.400000000000000709e-08,9.068374134540278797e-03
5.500000000000000281e-08,8.582674468647638263e-03
5.600000000000000514e-08,8.131049931220678262e-03
5.700000000000000748e-08,7.710563923697171841e-03
5.800000000000000320e-08,7.318578379193749379e-03
5.900000000000000554e-08,6.952718947512893759e-03
6.000000000000000787e-08,6.610844744079863965e-03
6.100000000000000359e-08,6.291022000613490442e-03
6.199999999999999931e-08,5.991501060392615159e-03
6.299999999999999503e-08,5.710696247990383785e-03
6.400000000000000399e-08,5.447168215641977861e-03
6.499999999999999971e-08,5.199608428661815773e-03
6.599999999999999543e-08,4.966825502689607187e-03
6.700000000000000438e-08,4.747733147765020346e-03
6.800000000000000010e-08,4.541339509723091132e-03
6.899999999999999582e-08,4.346737729320205613e-03
7.000000000000000477e-08,4.163097564784988026e-03
7.100000000000000049e-08,3.989657944911586228e-03
7.199999999999999621e-08,3.825720338009182611e-03
7.300000000000000517e-08,3.670642837514172165e-03
7.400000000000000089e-08,3.523834878292626122e-03
7.499999999999999661e-08,3.384752508968891759e-03
7.600000000000000556e-08,3.252894155309744764e-03
7.700000000000000128e-08,3.127796818020276912e-03
7.799999999999999700e-08,3.009032655475587896e-03
7.900000000000000595e-08,2.896205908095000024e-03
8.000000000000000167e-08,2.788950126408693084e-03
8.099999999999999739e-08,2.686925669493417466e-03
8.200000000000000635e-08,2.589817444467670902e-03
8.300000000000000207e-08,2.497332861224985968e-03
8.399999999999999779e-08,2.409199979620942414e-03
8.500000000000000674e-08,2.325165828978222569e-03
8.600000000000000246e-08,2.244994882087820911e-03
8.699999999999999818e-08,2.168467667909259895e-03
8.800000000000000714e-08,2.095379508947177449e-03
8.900000000000000285e-08,2.025539370839357298e-03
8.999999999999999857e-08,1.958768813060701285e-03
9.100000000000000753e-08,1.894901030853430755e-03
9.200000000000000325e-08,1.833779979556961160e-03
9.299999999999999897e-08,1.775259573449663791e-03
9.400000000000000792e-08,1.719202952044887340e-03
9.500000000000000364e-08,1.665481807518589662e-03
9.599999999999999936e-08,1.613975767597623616e-03
9.700000000000000832e-08,1.564571828816291050e-03
9.800000000000000404e-08,1.517163835563042342e-03
9.899999999999999976e-08,1.471652000796920632e-03
9.999999999999999547e-08,1.427942464721251468e-03
