R_values,energy
1.000000000000000062e-09,-8.972027113834366901e+03
2.000000000000000125e-09,-1.121503389229295863e+03
3.000000000000000394e-09,-3.322973005123839698e+02
4.000000000000000249e-09,-1.401879236536619828e+02
5.000000000000000105e-09,-7.177621691067494680e+01
5.999999999999999960e-09,-4.153716256404801044e+01
7.000000000000000643e-09,-2.615751345141215012e+01
8.000000000000000498e-09,-1.752349045670774785e+01
9.000000000000001181e-09,-1.230730742638458786e+01
1.000000000000000186e-08,-8.972027113834364798e+00
1.100000000000000089e-08,-6.740816764714025133e+00
1.200000000000000157e-08,-5.192145320505999528e+00
1.300000000000000226e-08,-4.083762910256879763e+00
1.400000000000000129e-08,-3.269689181426518765e+00
1.500000000000000197e-08,-2.658378404099071446e+00
1.600000000000000100e-08,-2.190436307088468482e+00
1.700000000000000002e-08,-1.826180971674001396e+00
1.799999999999999905e-08,-1.538413428298074592e+00
1.900000000000000139e-08,-1.308066352796962484e+00
2.000000000000000042e-08,-1.121503389229296044e+00
2.099999999999999945e-08,-9.687967944967464939e-01
2.200000000000000178e-08,-8.426020955892531417e-01
2.300000000000000081e-08,-7.374066831457523064e-01
2.399999999999999984e-08,-6.490181650632501631e-01
2.500000000000000218e-08,-5.742097352853995362e-01
2.600000000000000121e-08,-5.104703637821101925e-01
2.700000000000000023e-08,-4.558262009772071632e-01
2.799999999999999926e-08,-4.087111476783149011e-01
2.900000000000000160e-08,-3.678718731327388358e-01
3.000000000000000394e-08,-3.322973005123839307e-01
3.100000000000000627e-08,-3.011656914448780920e-01
3.200000000000000199e-08,-2.738045383860585602e-01
3.300000000000000433e-08,-2.496598801745934793e-01
3.400000000000000667e-08,-2.282726214592500358e-01
3.500000000000000239e-08,-2.092601076112972081e-01
3.600000000000000472e-08,-1.923016785372591853e-01
3.700000000000000706e-08,-1.771272602577214361e-01
3.800000000000000278e-08,-1.635082940996203105e-01
3.900000000000000512e-08,-1.512504781576622381e-01
4.000000000000000745e-08,-1.401879236536619500e-01
4.100000000000000317e-08,-1.301784233228532317e-01
4.200000000000000551e-08,-1.210995993120932701e-01
4.300000000000000785e-08,-1.128457508626204558e-01
4.400000000000000357e-08,-1.053252619486566427e-01
4.500000000000000590e-08,-9.845845941107671251e-02
4.600000000000000824e-08,-9.217583539321901054e-02
4.700000000000000396e-08,-8.641656582678565457e-02
4.800000000000000630e-08,-8.112727063290624263e-02
4.900000000000000864e-08,-7.626097216155143521e-02
5.000000000000000435e-08,-7.177621691067494203e-02
5.100000000000000669e-08,-6.763633228422225030e-02
5.200000000000000241e-08,-6.380879547276377406e-02
5.300000000000000475e-08,-6.026469578131186944e-02
5.400000000000000709e-08,-5.697827512215087459e-02
5.500000000000000281e-08,-5.392653411771220623e-02
5.600000000000000514e-08,-5.108889345978935570e-02
5.700000000000000748e-08,-4.844690195544305161e-02
5.800000000000000320e-08,-4.598398414159235448e-02
5.900000000000000554e-08,-4.368522153596213209e-02
6.000000000000000787e-08,-4.153716256404799134e-02
6.100000000000000359e-08,-3.952765700139820870e-02
6.199999999999999931e-08,-3.764571143060978925e-02
6.299999999999999503e-08,-3.588136275913877266e-02
6.400000000000000399e-08,-3.422556729825732003e-02
6.499999999999999971e-08,-3.267010328205505881e-02
6.599999999999999543e-08,-3.120748502182420225e-02
6.700000000000000438e-08,-2.983088715644666156e-02
6.800000000000000010e-08,-2.853407768240627182e-02
6.899999999999999582e-08,-2.731135863502787142e-02
7.000000000000000477e-08,-2.615751345141215101e-02
7.100000000000000049e-08,-2.506776018014078219e-02
7.199999999999999621e-08,-2.403770981715741550e-02
7.300000000000000517e-08,-2.306332914457303110e-02
7.400000000000000089e-08,-2.214090753221519339e-02
7.499999999999999661e-08,-2.126702723279258120e-02
7.600000000000000556e-08,-2.043853676245253881e-02
7.700000000000000128e-08,-1.965252701082806711e-02
7.799999999999999700e-08,-1.890630976970778671e-02
7.900000000000000595e-08,-1.819739840830921634e-02
8.000000000000000167e-08,-1.752349045670775068e-02
8.099999999999999739e-08,-1.688245188804471386e-02
8.200000000000000635e-08,-1.627230291535665396e-02
8.300000000000000207e-08,-1.569120514078558778e-02
8.399999999999999779e-08,-1.513744991401166397e-02
8.500000000000000674e-08,-1.460944777339200952e-02
8.600000000000000246e-08,-1.410571885782756392e-02
8.699999999999999818e-08,-1.362488419010144357e-02
8.800000000000000714e-08,-1.316565774358208034e-02
8.900000000000000285e-08,-1.272683921397163229e-02
8.999999999999999857e-08,-1.230730742638459600e-02
9.100000000000000753e-08,-1.190601431561772762e-02
9.200000000000000325e-08,-1.152197942415237979e-02
9.299999999999999897e-08,-1.115428486832882767e-02
9.400000000000000792e-08,-1.080207072834820682e-02
9.500000000000000364e-08,-1.046453082237570192e-02
9.599999999999999936e-08,-1.014090882911328380e-02
9.700000000000000832e-08,-9.830494726845615330e-03
9.800000000000000404e-08,-9.532621520193932871e-03
9.899999999999999976e-08,-9.246662228688652327e-03
9.999999999999999547e-08,-8.972027113834371223e-03
