R_values,energy
1.000000000000000062e-09,-4.486013556917183450e+03
2.000000000000000125e-09,-5.607516946146479313e+02
3.000000000000000394e-09,-1.661486502561919849e+02
4.000000000000000249e-09,-7.009396182683099141e+01
5.000000000000000105e-09,-3.588810845533747340e+01
5.999999999999999960e-09,-2.076858128202400522e+01
7.000000000000000643e-09,-1.307875672570607506e+01
8.000000000000000498e-09,-8.761745228353873927e+00
9.000000000000001181e-09,-6.153653713192293928e+00
1.000000000000000186e-08,-4.486013556917182399e+00
1.100000000000000089e-08,-3.370408382357012567e+00
1.200000000000000157e-08,-2.596072660252999764e+00
1.300000000000000226e-08,-2.041881455128439882e+00
1.400000000000000129e-08,-1.634844590713259382e+00
1.500000000000000197e-08,-1.329189202049535723e+00
1.600000000000000100e-08,-1.095218153544234241e+00
1.700000000000000002e-08,-9.130904858370006982e-01
1.799999999999999905e-08,-7.692067141490372961e-01
1.900000000000000139e-08,-6.540331763984812419e-01
2.000000000000000042e-08,-5.607516946146480219e-01
2.099999999999999945e-08,-4.843983972483732470e-01
2.200000000000000178e-08,-4.213010477946265708e-01
2.300000000000000081e-08,-3.687033415728761532e-01
2.399999999999999984e-08,-3.245090825316250815e-01
2.500000000000000218e-08,-2.871048676426997681e-01
2.600000000000000121e-08,-2.552351818910550962e-01
2.700000000000000023e-08,-2.279131004886035816e-01
2.799999999999999926e-08,-2.043555738391574506e-01
2.900000000000000160e-08,-1.839359365663694179e-01
3.000000000000000394e-08,-1.661486502561919654e-01
3.100000000000000627e-08,-1.505828457224390460e-01
3.200000000000000199e-08,-1.369022691930292801e-01
3.300000000000000433e-08,-1.248299400872967396e-01
3.400000000000000667e-08,-1.141363107296250179e-01
3.500000000000000239e-08,-1.046300538056486040e-01
3.600000000000000472e-08,-9.615083926862959263e-02
3.700000000000000706e-08,-8.856363012886071806e-02
3.800000000000000278e-08,-8.175414704981015523e-02
3.900000000000000512e-08,-7.562523907883111907e-02
4.000000000000000745e-08,-7.009396182683097498e-02
4.100000000000000317e-08,-6.508921166142661585e-02
4.200000000000000551e-08,-6.054979965604663505e-02
4.300000000000000785e-08,-5.642287543131022792e-02
4.400000000000000357e-08,-5.266263097432832135e-02
4.500000000000000590e-08,-4.922922970553835625e-02
4.600000000000000824e-08,-4.608791769660950527e-02
4.700000000000000396e-08,-4.320828291339282728e-02
4.800000000000000630e-08,-4.056363531645312132e-02
4.900000000000000864e-08,-3.813048608077571761e-02
5.000000000000000435e-08,-3.588810845533747101e-02
5.100000000000000669e-08,-3.381816614211112515e-02
5.200000000000000241e-08,-3.190439773638188703e-02
5.300000000000000475e-08,-3.013234789065593472e-02
5.400000000000000709e-08,-2.848913756107543729e-02
5.500000000000000281e-08,-2.696326705885610311e-02
5.600000000000000514e-08,-2.554444672989467785e-02
5.700000000000000748e-08,-2.422345097772152581e-02
5.800000000000000320e-08,-2.299199207079617724e-02
5.900000000000000554e-08,-2.184261076798106604e-02
6.000000000000000787e-08,-2.076858128202399567e-02
6.100000000000000359e-08,-1.976382850069910435e-02
6.199999999999999931e-08,-1.882285571530489462e-02
6.299999999999999503e-08,-1.794068137956938633e-02
6.400000000000000399e-08,-1.711278364912866001e-02
6.499999999999999971e-08,-1.633505164102752941e-02
6.599999999999999543e-08,-1.560374251091210113e-02
6.700000000000000438e-08,-1.491544357822333078e-02
6.800000000000000010e-08,-1.426703884120313591e-02
6.899999999999999582e-08,-1.365567931751393571e-02
7.000000000000000477e-08,-1.307875672570607550e-02
7.100000000000000049e-08,-1.253388009007039110e-02
7.199999999999999621e-08,-1.201885490857870775e-02
7.300000000000000517e-08,-1.153166457228651555e-02
7.400000000000000089e-08,-1.107045376610759670e-02
7.499999999999999661e-08,-1.063351361639629060e-02
7.600000000000000556e-08,-1.021926838122626940e-02
7.700000000000000128e-08,-9.826263505414033553e-03
7.799999999999999700e-08,-9.453154884853893353e-03
7.900000000000000595e-08,-9.098699204154608172e-03
8.000000000000000167e-08,-8.761745228353875342e-03
8.099999999999999739e-08,-8.441225944022356931e-03
8.200000000000000635e-08,-8.136151457678326981e-03
8.300000000000000207e-08,-7.845602570392793892e-03
8.399999999999999779e-08,-7.568724957005831984e-03
8.500000000000000674e-08,-7.304723886696004760e-03
8.600000000000000246e-08,-7.052859428913781960e-03
8.699999999999999818e-08,-6.812442095050721784e-03
8.800000000000000714e-08,-6.582828871791040169e-03
8.900000000000000285e-08,-6.363419606985816143e-03
8.999999999999999857e-08,-6.153653713192298001e-03
9.100000000000000753e-08,-5.953007157808863810e-03
9.200000000000000325e-08,-5.760989712076189893e-03
9.299999999999999897e-08,-5.577142434164413833e-03
9.400000000000000792e-08,-5.401035364174103411e-03
9.500000000000000364e-08,-5.232265411187850962e-03
9.599999999999999936e-08,-5.070454414556641899e-03
9.700000000000000832e-08,-4.915247363422807665e-03
9.800000000000000404e-08,-4.766310760096966435e-03
9.899999999999999976e-08,-4.623331114344326163e-03
9.999999999999999547e-08,-4.486013556917185612e-03
