R_values,energy
1.000000000000000062e-09,2.243006778458591725e+03
2.000000000000000125e-09,2.803758473073239657e+02
3.000000000000000394e-09,8.307432512809599245e+01
4.000000000000000249e-09,3.504698091341549571e+01
5.000000000000000105e-09,1.794405422766873670e+01
5.999999999999999960e-09,1.038429064101200261e+01
7.000000000000000643e-09,6.539378362853037530e+00
8.000000000000000498e-09,4.380872614176936963e+00
9.000000000000001181e-09,3.076826856596146964e+00
1.000000000000000186e-08,2.243006778458591199e+00
1.100000000000000089e-08,1.685204191178506283e+00
1.200000000000000157e-08,1.298036330126499882e+00
1.300000000000000226e-08,1.020940727564219941e+00
1.400000000000000129e-08,8.174222953566296912e-01
1.500000000000000197e-08,6.645946010247678615e-01
1.600000000000000100e-08,5.476090767721171204e-01
1.700000000000000002e-08,4.565452429185003491e-01
1.799999999999999905e-08,3.846033570745186481e-01
1.900000000000000139e-08,3.270165881992406209e-01
2.000000000000000042e-08,2.803758473073240109e-01
2.099999999999999945e-08,2.421991986241866235e-01
2.200000000000000178e-08,2.106505238973132854e-01
2.300000000000000081e-08,1.843516707864380766e-01
2.399999999999999984e-08,1.622545412658125408e-01
2.500000000000000218e-08,1.435524338213498841e-01
2.600000000000000121e-08,1.276175909455275481e-01
2.700000000000000023e-08,1.139565502443017908e-01
2.799999999999999926e-08,1.021777869195787253e-01
2.900000000000000160e-08,9.196796828318470896e-02
3.000000000000000394e-08,8.307432512809598268e-02
3.100000000000000627e-08,7.529142286121952299e-02
3.200000000000000199e-08,6.845113459651464005e-02
3.300000000000000433e-08,6.241497004364836981e-02
3.400000000000000667e-08,5.706815536481250895e-02
3.500000000000000239e-08,5.231502690282430201e-02
3.600000000000000472e-08,4.807541963431479631e-02
3.700000000000000706e-08,4.428181506443035903e-02
3.800000000000000278e-08,4.087707352490507762e-02
3.900000000000000512e-08,3.781261953941555953e-02
4.000000000000000745e-08,3.504698091341548749e-02
4.100000000000000317e-08,3.254460583071330793e-02
4.200000000000000551e-08,3.027489982802331753e-02
4.300000000000000785e-08,2.821143771565511396e-02
4.400000000000000357e-08,2.633131548716416068e-02
4.500000000000000590e-08,2.461461485276917813e-02
4.600000000000000824e-08,2.304395884830475263e-02
4.700000000000000396e-08,2.160414145669641364e-02
4.800000000000000630e-08,2.028181765822656066e-02
4.900000000000000864e-08,1.906524304038785880e-02
5.000000000000000435e-08,1.794405422766873551e-02
5.100000000000000669e-08,1.690908307105556257e-02
5.200000000000000241e-08,1.595219886819094351e-02
5.300000000000000475e-08,1.506617394532796736e-02
5.400000000000000709e-08,1.424456878053771865e-02
5.500000000000000281e-08,1.348163352942805156e-02
5.600000000000000514e-08,1.277222336494733892e-02
5.700000000000000748e-08,1.211172548886076290e-02
5.800000000000000320e-08,1.149599603539808862e-02
5.900000000000000554e-08,1.092130538399053302e-02
6.000000000000000787e-08,1.038429064101199784e-02
6.100000000000000359e-08,9.881914250349552176e-03
6.199999999999999931e-08,9.411427857652447312e-03
6.299999999999999503e-08,8.970340689784693164e-03
6.400000000000000399e-08,8.556391824564330006e-03
6.499999999999999971e-08,8.167525820513764703e-03
6.599999999999999543e-08,7.801871255456050563e-03
6.700000000000000438e-08,7.457721789111665389e-03
6.800000000000000010e-08,7.133519420601567955e-03
6.899999999999999582e-08,6.827839658756967856e-03
7.000000000000000477e-08,6.539378362853037752e-03
7.100000000000000049e-08,6.266940045035195549e-03
7.199999999999999621e-08,6.009427454289353876e-03
7.300000000000000517e-08,5.765832286143257775e-03
7.400000000000000089e-08,5.535226883053798348e-03
7.499999999999999661e-08,5.316756808198145300e-03
7.600000000000000556e-08,5.109634190613134702e-03
7.700000000000000128e-08,4.913131752707016776e-03
7.799999999999999700e-08,4.726577442426946676e-03
7.900000000000000595e-08,4.549349602077304086e-03
8.000000000000000167e-08,4.380872614176937671e-03
8.099999999999999739e-08,4.220612972011178465e-03
8.200000000000000635e-08,4.068075728839163491e-03
8.300000000000000207e-08,3.922801285196396946e-03
8.399999999999999779e-08,3.784362478502915992e-03
8.500000000000000674e-08,3.652361943348002380e-03
8.600000000000000246e-08,3.526429714456890980e-03
8.699999999999999818e-08,3.406221047525360892e-03
8.800000000000000714e-08,3.291414435895520085e-03
8.900000000000000285e-08,3.181709803492908072e-03
8.999999999999999857e-08,3.076826856596149001e-03
9.100000000000000753e-08,2.976503578904431905e-03
9.200000000000000325e-08,2.880494856038094947e-03
9.299999999999999897e-08,2.788571217082206916e-03
9.400000000000000792e-08,2.700517682087051705e-03
9.500000000000000364e-08,2.616132705593925481e-03
9.599999999999999936e-08,2.535227207278320950e-03
9.700000000000000832e-08,2.457623681711403833e-03
9.800000000000000404e-08,2.383155380048483218e-03
9.899999999999999976e-08,2.311665557172163082e-03
9.999999999999999547e-08,2.243006778458592806e-03
